"variable","relative_importance","scaled_importance","percentage"
"Sales_day_avg",169638.578125,1,0.70014452842422
"Store",48005.40234375,0.282986351774163,0.198131345813411
"day",8747.5517578125,0.0515658163048665,0.0361035241395807
"day_of_year",3199.0341796875,0.018857940304889,0.0132032837218186
"Sales_month_avg",2312.45874023438,0.0136316795730887,0.00954414586633026
"month",1323.11193847656,0.00779959342444861,0.00546084266006122
"DayOfWeek",713.868408203125,0.00420817255186555,0.00294632898685365
"Open1",665.063293457031,0.00392047198702038,0.00274489701055275
"ConsConf",574.875305175781,0.00338882411966562,0.00237266666517591
"DAX",398.198028564453,0.00234733179778857,0.00164347151461785
"Goog_trend_ALL",317.211151123047,0.00186992342560963,0.00130921665501286
"weeknum",294.726501464844,0.00173737898962859,0.00121641639338766
"Open-1",243.509124755859,0.00143545841663697,0.00100502835618887
"Open-2",220.385467529297,0.00129914710418584,0.000909590736613884
"Events6",208.185852050781,0.00122723176739537,0.000859239607050253
"Merck",200.746368408203,0.00118337686289896,0.000828534835622527
"StateHoliday",198.726058959961,0.00117146736996067,0.000820196469305472
"CLeadIndic",189.03889465332,0.00111436264523524,0.000780214908741795
"Open-3",186.042083740234,0.00109669678793905,0.00076784625541594
"Events13",180.087005615234,0.00106159228405307,0.000743268029097129
"BusConf",173.168243408203,0.00102080697281371,0.000714712416592809
"is_month_end",155.178283691406,0.000914758219542854,0.00064046296224401
"Events",151.702529907227,0.000894269048844791,0.000626117581487812
"Events10",140.483413696289,0.000828133643001725,0.000579813238951674
"DaysAfterRefurb",139.886276245117,0.000824613586079698,0.000577348690357974
"Events2",131.408843994141,0.000774640093347815,0.000542360022855499
"Events-1",130.223297119141,0.000767651430225878,0.000537466948609675
"Max_TemperatureC",122.70565032959,0.000723335762925181,0.000506439576625624
"DaysBeforeRefurb",119.919174194336,0.000706909805067879,0.000494939032107707
"Events3",115.905822753906,0.000683251557723502,0.000478374839677435
"Events9",107.343078613281,0.000632775161167552,0.000443034066814215
"Events-2",105.8046875,0.000623706521650026,0.000436684708475768
"Events1",105.016754150391,0.000619061744746575,0.000433432693341065
"Events4",103.793586730957,0.000611851312821519,0.000428384348881162
"Events8",102.180473327637,0.000602342193957461,0.000421726591338357
"Competition",100.058540344238,0.000589833641911978,0.000412968797065202
"Events11",99.6574783325195,0.000587469427261326,0.000411313505113528
