"variable","relative_importance","scaled_importance","percentage"
"Sales_day_avg",158319.390625,1,0.680802714688105
"Store",50017.63671875,0.31592868391733,0.215085105658759
"day",8220.1826171875,0.0519215150130161,0.0353483083715806
"day_of_year",3316.1728515625,0.0209460940853246,0.0142601577154014
"Sales_month_avg",1829.46520996094,0.0115555346868045,0.00786703938444906
"month",1306.90246582031,0.00825484775213594,0.00561992275899115
"DayOfWeek",633.061645507812,0.00399863619363784,0.00272228237567875
"ConsConf",602.575561523438,0.00380607554857709,0.0025911865657793
"Open1",562.523986816406,0.00355309595745487,0.00241895737338261
"DAX",419.344696044922,0.00264872606185173,0.00180325989337379
"Goog_trend_ALL",328.677551269531,0.0020760410330788,0.00141337437112395
"weeknum",263.530120849609,0.00166454734198551,0.00113322834915061
"Events6",246.776580810547,0.00155872619163289,0.00106118502271913
"Open-1",217.169021606445,0.00137171461277815,0.000933867032156711
"Open-2",192.007034301758,0.00121278280281252,0.000825665824481813
"Events",190.091903686523,0.00120068617581267,0.000817430407981745
"Events13",180.598159790039,0.00114072040750718,0.000776605550131013
"Merck",180.595687866211,0.00114070479398178,0.000776594920400529
"Open-3",178.753219604492,0.00112906712752509,0.000768671965484186
"StateHoliday",171.897964477539,0.00108576696637686,0.000739193098228034
"CLeadIndic",159.260269165039,0.00100594291410752,0.000684848666745662
"Events2",158.077941894531,0.00099847492635289,0.000679764440409053
"Events10",156.368011474609,0.000987674414721487,0.000672411422770374
"Events-1",153.13020324707,0.000967223298691056,0.000658488247458455
"DaysAfterRefurb",150.251403808594,0.000949039806276691,0.000646108876460245
"Events9",141.322738647461,0.000892643270603549,0.000607713961874966
"Events1",139.254058837891,0.000879576773812451,0.000598818255388122
"Events11",138.229827880859,0.000873107377025437,0.000594413872493129
"Events8",137.315551757812,0.000867332492979727,0.0005904823157578
"Events7",137.139511108398,0.000866220559383223,0.000589725308346747
"Events-2",135.331192016602,0.000854798590888661,0.000581949201188568
"Events3",135.156188964844,0.000853693211117637,0.000581196655639693
"Events14",133.87060546875,0.000845573021347965,0.000575668408400718
"Events-3",133.663314819336,0.00084426370194877,0.000574777020199352
"Events5",127.517059326172,0.000805441827578863,0.000548346982739039
"Events4",127.432266235352,0.000804906245105449,0.000547982356737199
"Competition",125.703720092773,0.000793988150134553,0.000540549288041791
"Max_TemperatureC",124.758644104004,0.000788018723489853,0.000536485286176947
"Events12",123.915573120117,0.000782693595717705,0.000532859924733608
"MSCI",123.221900939941,0.000778312122434885,0.000529877005828331
"DaysBeforeRefurb",121.611618041992,0.000768141018999025,0.000522952490997824
"is_month_end",114.470985412598,0.000723038314894333,0.000492246447603575
"Open8",102.810531616211,0.000649386857859572,0.000442104335713576
"BusConf",87.8668060302734,0.000554997121220592,0.000377843546771063
"Min_Sea_Level_PressurehPa",80.8328399658203,0.000510568160013219,0.00034759618937031
"Open11",73.8539352416992,0.000466486985265323,0.000317585605935302
