"variable","relative_importance","scaled_importance","percentage"
"Sales_day_avg",1303921.375,1,0.704664492367077
"Store",367182.625,0.281598746703573,0.198432637897079
"day",58224.875,0.0446536701647367,0.0314658558189611
"day_of_year",22942.107421875,0.017594701537794,0.0123983614274799
"Sales_month_avg",20757.501953125,0.0159192895761257,0.0112177581080051
"month",10258.34375,0.00786730239006934,0.0055438086449965
"Open1",6033.2509765625,0.00462700519543404,0.00326048626722036
"DayOfWeek",5936.04248046875,0.00455245430766004,0.00320795290373157
"DAX",4472.0966796875,0.00342972878996443,0.00241680809673703
"ConsConf",4376.01416015625,0.00335604143321621,0.00236488323290018
"Goog_trend_ALL",3204.240234375,0.00245738761232824,0.00173163379439042
"weeknum",3115.94946289062,0.00238967588278904,0.00168391974286739
"Open-1",2869.41918945312,0.0022006075247084,0.00155068998429782
"Open-2",1686.15588378906,0.00129314229839131,0.000911231461254311
"StateHoliday",1657.69360351562,0.00127131408020336,0.000895849890965618
"Events6",1497.20764160156,0.00114823460241348,0.000809120153228007
"is_month_end",1495.00439453125,0.00114654489388308,0.000807929475624182
"Merck",1429.44934082031,0.00109626958206764,0.000772502248545161
"CLeadIndic",1312.91711425781,0.00100689898902671,0.000709525964967427
"DaysAfterRefurb",1304.13818359375,0.00100016627428456,0.0007047816599514
"Max_TemperatureC",1172.88269042969,0.000899504151797257,0.000633848636508292
"Events13",1156.06982421875,0.000886610072036552,0.000624762636339175
"Events",1109.64343261719,0.000851004864167663,0.00059967291061062
"DaysBeforeRefurb",1072.61437988281,0.000822606639056602,0.000579661689728608
"BusConf",1012.99987792969,0.000776887239792114,0.00054744485245457
"Open-3",909.828369140625,0.000697763213783212,0.000491688960832968
"Events10",896.981262207031,0.00068791054384474,0.000484746134172314
"Competition",875.810180664062,0.000671674072881935,0.000473304869603476
"MSCI",868.279296875,0.000665898507013124,0.000469235033412398
"Events-1",867.78369140625,0.000665518418552077,0.00046896719856994
"Events2",794.452270507812,0.00060927927537641,0.000429337471292899
"Events1",692.44384765625,0.000531047240218951,0.000374210133951824
"Events9",634.889526367188,0.00048690782936754,0.000343106658410833
"Open8",623.685913085938,0.000478315583319537,0.000337052007711124
"Goog_trend",573.5380859375,0.000439856341750284,0.000309951145773903
"Events8",572.018798828125,0.000438691174019695,0.000309130093446506
"Events7",568.499694824219,0.000435992311901643,0.000307228301142119
"Min_Sea_Level_PressurehPa",550.875671386719,0.000422476141543978,0.000297703935818289
"Events4",545.877624511719,0.000418643052393952,0.000295002893998188
"Mean_TemperatureC",544.289245605469,0.000417424896961651,0.000294144503118861
"Mean_Sea_Level_PressurehPa",542.575134277344,0.000416110315146374,0.000293218163991324
"year",527.026672363281,0.000404185929050577,0.000284815472516341
"Max_Sea_Level_PressurehPa",518.622253417969,0.00039774043386471,0.000280273560923137
"Events5",502.882110595703,0.0003856690443438,0.000271767281354219
"Open4",487.541412353516,0.00037390399582453,0.000263476869411714
"MeanDew_PointC",415.868865966797,0.000318937072388124,0.000224743630211419
"Mean_TemperatureC1",380.505187988281,0.000291816052166705,0.000205632410264615
"Mean_TemperatureC3",376.976470947266,0.000289109817643158,0.000203725422887854
"SchoolHoliday",365.929870605469,0.000280637987551564,0.000197755625036941
"Dew_PointC",348.105010986328,0.000266967792430221,0.000188122723931201
"Mean_TemperatureC8",329.041870117188,0.000252347937863345,0.000177820631534353
"Mean_Wind_SpeedKm_h",324.713775634766,0.000249028646865127,0.000175481645028075
"Open11",309.090423583984,0.000237046826219859,0.000167038481465444
"Mean_TemperatureC14",306.254730224609,0.000234872083621307,0.000165506017576206
"Open-6",302.811920166016,0.000232231732657972,0.000163645456004957
"Mean_TemperatureC-3",302.388061523438,0.000231906668086822,0.000163416394543941
"Mean_TemperatureC-1",282.533935546875,0.000216680193272294,0.000152686838398221
"Mean_TemperatureC4",276.691223144531,0.000212199315426155,0.000149529322885413
"Mean_TemperatureC-2",272.633453369141,0.000209087341151333,0.000147336425112786
"SP_POP_GROW",270.336975097656,0.000207326131989865,0.000146095363553068
"is_quarter_end",267.484161376953,0.000205138259488194,0.000144553647487314
"Mean_TemperatureC13",264.169128417969,0.000202595903006781,0.000142762139147923
"Mean_TemperatureC10",261.492309570312,0.000200543004036814,0.00014131553413737
"Mean_TemperatureC12",258.667144775391,0.000198376335977613,0.000139788760089305
"Sales_all_avg",252.601638793945,0.000193724593857467,0.00013651084258959
"Mean_TemperatureC9",236.568756103516,0.000181428697035905,0.000127846360697626
"Mean_TemperatureC6",202.38459777832,0.000155212270968654,0.000109372576131268
"Mean_TemperatureC7",191.981475830078,0.000147233935658182,0.00010375052652978
"Max_Wind_SpeedKm_h5",181.379333496094,0.000139102968149513,9.802092243783e-05
"Max_Wind_SpeedKm_h4",179.362396240234,0.00013755614385893,9.69309302843259e-05
"Max_Wind_SpeedKm_h2",159.356414794922,0.000122213208442052,8.61193084873703e-05
"Open-9",138.832916259766,0.000106473380160491,7.50280103813995e-05
"Open2",134.790283203125,0.000103373014498765,7.2843292786227e-05
"Open-8",110.37181854248,8.46460688954351e-05,5.96470791690704e-05
"Open-4",102.157844543457,7.8346629253974e-05,5.52080877319232e-05
"Open-12",85.6707382202148,6.57023804216837e-05,4.62981345471543e-05
"Open5",69.0122604370117,5.29267038336661e-05,3.7295568889613e-05
"Open-13",60.0089645385742,4.60219194877254e-05,3.24300125335765e-05
"Open-7",50.343936920166,3.86096415668974e-05,2.72068434752126e-05
"Open-14",45.435962677002,3.48456306861309e-05,2.45544786586531e-05
