"variable","relative_importance","scaled_importance","percentage"
"Sales_day_avg",2152170.75,1,0.568286369556624
"Store",1289415.75,0.599123350226742,0.340473633616957
"day",122738.3046875,0.0570300031665703,0.032409373455333
"day_of_year",38871.98828125,0.0180617584739733,0.0102642511509829
"Sales_month_avg",33840.78125,0.0157240224782351,0.00893574764898296
"month",18023.236328125,0.00837444534924796,0.00475908314457448
"DayOfWeek",9479.5029296875,0.00440462399634764,0.00250308778014639
"Open1",9237.0712890625,0.00429197882605853,0.0024390730652747
"DAX",7512.20849609375,0.00349052624941295,0.00198361849012098
"ConsConf",7362.61572265625,0.00342101839394307,0.00194411812328034
"Goog_trend_ALL",4950.005859375,0.00230000610284988,0.00130706211814664
"weeknum",4582.0693359375,0.00212904544675997,0.00120990750756029
"Open-1",4404.74951171875,0.00204665429623498,0.00116308573974484
"Events6",3003.3701171875,0.00139550735794895,0.000793047810138363
"Open-2",2498.97338867188,0.00116114085681718,0.000659860522064504
"Competition",2429.826171875,0.00112901179977239,0.000641602016879243
"StateHoliday",2353.28149414062,0.00109344553360398,0.000621390192599711
"CLeadIndic",2351.78588867188,0.00109275060478908,0.000620995274026394
"Events13",2282.033203125,0.00106034021841668,0.000602576893218896
"is_month_end",2281.04052734375,0.0010598789744465,0.000602314774557598
"Events",2279.33032226562,0.00105908433253524,0.000601863190390754
"Merck",2269.9560546875,0.00105472860584482,0.000599387890283072
"Events-1",1991.57397460938,0.000925379166411111,0.000525880366943105
"Events10",1973.10437011719,0.00091679731736768,0.000521003419106131
"Events2",1929.49389648438,0.000896533835191457,0.00050948795838563
"DaysAfterRefurb",1775.34057617188,0.000824906934624901,0.000468783367100069
"Events1",1740.85192871094,0.000808881882959769,0.000459676548667333
"Events-2",1684.14904785156,0.000782535051111331,0.000444704003246866
"Events9",1659.58447265625,0.000771121191316372,0.00043821766230136
"Events11",1646.4921875,0.00076503789836378,0.000434760609834382
"BusConf",1635.84875488281,0.000760092457758202,0.00043195018334678
"Events3",1592.51684570312,0.000739958409760529,0.000420508278305704
"Events4",1588.20397949219,0.000737954448777908,0.000419369454594157
"Events8",1587.87121582031,0.000737799831086968,0.000419281587467904
"Max_TemperatureC",1568.13525390625,0.0007286295726797,0.000414070254609741
"Events7",1554.63879394531,0.000722358481057004,0.000410506478718322
"Events-3",1545.36706542969,0.000718050398849481,0.000408058254320858
"DaysBeforeRefurb",1488.85131835938,0.00069179051818234,0.000393135122071538
"Events14",1478.65148925781,0.000687051196684934,0.000390441830263616
"Events12",1466.62841796875,0.000681464710905838,0.000387267106541633
"MSCI",1423.90686035156,0.000661614261020675,0.000375986366442328
"Events5",1401.04602050781,0.000650992036996977,0.000369949901315284
"Goog_trend",1333.99035644531,0.000619834813964139,0.000352243676152486
"Open-3",1268.01892089844,0.000589181374618365,0.000334823744392252
"Max_Sea_Level_PressurehPa",1053.21008300781,0.000489371060826755,0.00027810290352331
"Open8",998.115600585938,0.000463771566724405,0.0002635550599574
"Min_Sea_Level_PressurehPa",994.673950195312,0.000462172413687581,0.000262646283083738
"Mean_Humidity",966.069274902344,0.000448881332906482,0.000255093143039163
"Mean_Sea_Level_PressurehPa",914.841369628906,0.000425078432846886,0.000241566279379376
"Mean_TemperatureC",909.786804199219,0.000422729843437942,0.000240231608030588
"year",893.014587402344,0.000414936680745403,0.000235802859896681
"Mean_Wind_SpeedKm_h",845.233703613281,0.000392735429386019,0.000223186191362043
"Open4",831.99853515625,0.000386585746115288,0.000219691410182196
"Mean_TemperatureC8",691.075012207031,0.000321106033156073,0.000182480181824994
"MeanDew_PointC",674.202209472656,0.000313266133494592,0.000178024873708683
"Mean_TemperatureC2",655.716430664062,0.00030467676910118,0.000173143655000751
"Mean_TemperatureC1",621.453125,0.000288756421859186,0.000164096338664518
"SchoolHoliday",614.491943359375,0.000285521928666383,0.000162258220270624
"Mean_TemperatureC14",604.619445800781,0.000280934700836716,0.000159651361220974
"Mean_TemperatureC-3",596.698669433594,0.000277254334691424,0.000157559859305627
"CloudCover",594.53466796875,0.000276248837583519,0.000156988449004575
"Dew_PointC",589.790771484375,0.000274044599613843,0.00015573581061115
"Sales_all_avg",572.199584960938,0.000265870904973937,0.000151090811358373
"Mean_TemperatureC3",566.150146484375,0.000263060050641602,0.000149493441154498
"Min_VisibilitykM",538.816101074219,0.000250359364411127,0.000142275814285703
"Open11",536.684204101562,0.00024936878456394,0.000141712881260589
"Mean_TemperatureC-2",526.249755859375,0.000244520447952085,0.00013895763764905
"Open-6",520.360168457031,0.000241783867965416,0.000137402476543425
"Mean_TemperatureC-1",514.145690917969,0.000238896328703458,0.000135761527339294
"Mean_TemperatureC10",502.619598388672,0.000233540762687473,0.000132718032171149
"Mean_TemperatureC9",491.895446777344,0.000228557816231516,0.000129886291619998
"Mean_TemperatureC13",487.93701171875,0.00022671854067283,0.000128841056390138
"Max_Wind_SpeedKm_h5",465.689788818359,0.000216381432011544,0.000122966618437304
"Max_Wind_SpeedKm_h4",463.979431152344,0.000215586719200762,0.000122514993979225
"Max_Wind_SpeedKm_h2",454.918365478516,0.000211376520881773,0.000120122395661413
"Mean_TemperatureC4",454.156311035156,0.000211022434458398,0.000119921173173364
"Mean_TemperatureC12",453.261413574219,0.000210606622905835,0.000119684873135738
"Min_DewpointC",448.864013671875,0.000208563383584632,0.000118523728079756
"Mean_TemperatureC11",434.320098876953,0.000201805595061151,0.000114683368973516
"Mean_TemperatureC7",432.137634277344,0.000200791519110342,0.000114107083432976
"Mean_TemperatureC5",398.474914550781,0.000185150232411058,0.000105218353399445
"SP_POP_GROW",383.500854492188,0.000178192578117785,0.000101264413300491
"Min_TemperatureC",379.368682861328,0.000176272576356373,0.000100173302469956
"Mean_TemperatureC6",375.758209228516,0.000174594980081629,9.92199473734004e-05
"is_quarter_end",351.319519042969,0.000163239612397375,9.2766846697135e-05
"Promo",287.379486083984,0.000133530058469564,7.5883312154352e-05
"Open2",268.195861816406,0.000124616442174212,7.08178255102461e-05
"Open6",238.421249389648,0.000110781753441101,6.29557604761601e-05
"Open-8",238.256500244141,0.000110705203220581,6.29122580292524e-05
"Open7",212.736511230469,9.88474131202037e-05,5.61736375421444e-05
"Open12",161.880081176758,7.52171179618336e-05,4.27448628950428e-05
"Open5",157.978149414062,7.34040964984133e-05,4.17145475096674e-05
"Open-12",156.667739868164,7.27952184408064e-05,4.13685304088073e-05
"Open-9",154.494262695312,7.17853184722042e-05,4.0794618022035e-05
"State",145.425155639648,6.75713837480825e-05,3.83998963561153e-05
"Open-14",142.752914428711,6.63297344918896e-05,3.76942840080507e-05
"Open-4",138.733520507812,6.44621345717167e-05,3.66329524296315e-05
"Open-13",138.155410766602,6.41935175294997e-05,3.64803010259089e-05
"HHDI",108.474815368652,5.04025135406437e-05,2.8643061436541e-05
"Open-7",98.8683929443359,4.59389167631499e-05,2.61064602286944e-05
