"Date";"Goog_trend_ALL"
2013-01-01;61
2013-01-02;61
2013-01-03;61
2013-01-04;61
2013-01-05;61
2013-01-06;62
2013-01-07;62
2013-01-08;62
2013-01-09;62
2013-01-10;62
2013-01-11;62
2013-01-12;62
2013-01-13;51
2013-01-14;51
2013-01-15;51
2013-01-16;51
2013-01-17;51
2013-01-18;51
2013-01-19;51
2013-01-20;56
2013-01-21;56
2013-01-22;56
2013-01-23;56
2013-01-24;56
2013-01-25;56
2013-01-26;56
2013-01-27;50
2013-01-28;50
2013-01-29;50
2013-01-30;50
2013-01-31;50
2013-02-01;50
2013-02-02;50
2013-02-03;58
2013-02-04;58
2013-02-05;58
2013-02-06;58
2013-02-07;58
2013-02-08;58
2013-02-09;58
2013-02-10;51
2013-02-11;51
2013-02-12;51
2013-02-13;51
2013-02-14;51
2013-02-15;51
2013-02-16;51
2013-02-17;58
2013-02-18;58
2013-02-19;58
2013-02-20;58
2013-02-21;58
2013-02-22;58
2013-02-23;58
2013-02-24;51
2013-02-25;51
2013-02-26;51
2013-02-27;51
2013-02-28;51
2013-03-01;51
2013-03-02;51
2013-03-03;55
2013-03-04;55
2013-03-05;55
2013-03-06;55
2013-03-07;55
2013-03-08;55
2013-03-09;55
2013-03-10;54
2013-03-11;54
2013-03-12;54
2013-03-13;54
2013-03-14;54
2013-03-15;54
2013-03-16;54
2013-03-17;62
2013-03-18;62
2013-03-19;62
2013-03-20;62
2013-03-21;62
2013-03-22;62
2013-03-23;62
2013-03-24;57
2013-03-25;57
2013-03-26;57
2013-03-27;57
2013-03-28;57
2013-03-29;57
2013-03-30;57
2013-03-31;57
2013-04-01;57
2013-04-02;57
2013-04-03;57
2013-04-04;57
2013-04-05;57
2013-04-06;57
2013-04-07;59
2013-04-08;59
2013-04-09;59
2013-04-10;59
2013-04-11;59
2013-04-12;59
2013-04-13;59
2013-04-14;50
2013-04-15;50
2013-04-16;50
2013-04-17;50
2013-04-18;50
2013-04-19;50
2013-04-20;50
2013-04-21;59
2013-04-22;59
2013-04-23;59
2013-04-24;59
2013-04-25;59
2013-04-26;59
2013-04-27;59
2013-04-28;52
2013-04-29;52
2013-04-30;52
2013-05-01;52
2013-05-02;52
2013-05-03;52
2013-05-04;52
2013-05-05;56
2013-05-06;56
2013-05-07;56
2013-05-08;56
2013-05-09;56
2013-05-10;56
2013-05-11;56
2013-05-12;60
2013-05-13;60
2013-05-14;60
2013-05-15;60
2013-05-16;60
2013-05-17;60
2013-05-18;60
2013-05-19;53
2013-05-20;53
2013-05-21;53
2013-05-22;53
2013-05-23;53
2013-05-24;53
2013-05-25;53
2013-05-26;65
2013-05-27;65
2013-05-28;65
2013-05-29;65
2013-05-30;65
2013-05-31;65
2013-06-01;65
2013-06-02;55
2013-06-03;55
2013-06-04;55
2013-06-05;55
2013-06-06;55
2013-06-07;55
2013-06-08;55
2013-06-09;55
2013-06-10;55
2013-06-11;55
2013-06-12;55
2013-06-13;55
2013-06-14;55
