"Date";"State";"Goog_trend"
2013-01-01;"BE";69
2013-01-02;"BE";69
2013-01-03;"BE";69
2013-01-04;"BE";69
2013-01-05;"BE";69
2013-01-06;"BE";70
2013-01-07;"BE";70
2013-01-08;"BE";70
2013-01-09;"BE";70
2013-01-10;"BE";70
2013-01-11;"BE";70
2013-01-12;"BE";70
2013-01-13;"BE";61
2013-01-14;"BE";61
2013-01-15;"BE";61
2013-01-16;"BE";61
2013-01-17;"BE";61
2013-01-18;"BE";61
2013-01-19;"BE";61
2013-01-20;"BE";70
2013-01-21;"BE";70
2013-01-22;"BE";70
2013-01-23;"BE";70
2013-01-24;"BE";70
2013-01-25;"BE";70
2013-01-26;"BE";70
2013-01-27;"BE";61
2013-01-28;"BE";61
2013-01-29;"BE";61
2013-01-30;"BE";61
2013-01-31;"BE";61
2013-02-01;"BE";61
2013-02-02;"BE";61
2013-02-03;"BE";76
2013-02-04;"BE";76
2013-02-05;"BE";76
2013-02-06;"BE";76
2013-02-07;"BE";76
2013-02-08;"BE";76
2013-02-09;"BE";76
2013-02-10;"BE";55
2013-02-11;"BE";55
2013-02-12;"BE";55
2013-02-13;"BE";55
2013-02-14;"BE";55
2013-02-15;"BE";55
2013-02-16;"BE";55
2013-02-17;"BE";61
2013-02-18;"BE";61
2013-02-19;"BE";61
2013-02-20;"BE";61
2013-02-21;"BE";61
2013-02-22;"BE";61
2013-02-23;"BE";61
2013-02-24;"BE";55
2013-02-25;"BE";55
2013-02-26;"BE";55
2013-02-27;"BE";55
2013-02-28;"BE";55
2013-03-01;"BE";55
2013-03-02;"BE";55
2013-03-03;"BE";60
2013-03-04;"BE";60
2013-03-05;"BE";60
2013-03-06;"BE";60
2013-03-07;"BE";60
2013-03-08;"BE";60
2013-03-09;"BE";60
2013-03-10;"BE";65
2013-03-11;"BE";65
2013-03-12;"BE";65
2013-03-13;"BE";65
2013-03-14;"BE";65
2013-03-15;"BE";65
2013-03-16;"BE";65
2013-03-17;"BE";72
2013-03-18;"BE";72
2013-03-19;"BE";72
2013-03-20;"BE";72
2013-03-21;"BE";72
2013-03-22;"BE";72
2013-03-23;"BE";72
2013-03-24;"BE";67
2013-03-25;"BE";67
2013-03-26;"BE";67
2013-03-27;"BE";67
2013-03-28;"BE";67
2013-03-29;"BE";67
2013-03-30;"BE";67
2013-03-31;"BE";57
2013-04-01;"BE";57
2013-04-02;"BE";57
2013-04-03;"BE";57
2013-04-04;"BE";57
2013-04-05;"BE";57
2013-04-06;"BE";57
2013-04-07;"BE";68
2013-04-08;"BE";68
2013-04-09;"BE";68
2013-04-10;"BE";68
2013-04-11;"BE";68
2013-04-12;"BE";68
2013-04-13;"BE";68
2013-04-14;"BE";59
2013-04-15;"BE";59
2013-04-16;"BE";59
2013-04-17;"BE";59
2013-04-18;"BE";59
2013-04-19;"BE";59
2013-04-20;"BE";59
2013-04-21;"BE";66
2013-04-22;"BE";66
2013-04-23;"BE";66
2013-04-24;"BE";66
2013-04-25;"BE";66
2013-04-26;"BE";66
2013-04-27;"BE";66
2013-04-28;"BE";58
2013-04-29;"BE";58
2013-04-30;"BE";58
2013-05-01;"BE";58
2013-05-02;"BE";58
2013-05-03;"BE";58
2013-05-04;"BE";58
2013-05-05;"BE";61
2013-05-06;"BE";61
2013-05-07;"BE";61
2013-05-08;"BE";61
2013-05-09;"BE";61
2013-05-10;"BE";61
2013-05-11;"BE";61
2013-05-12;"BE";67
2013-05-13;"BE";67
2013-05-14;"BE";67
2013-05-15;"BE";67
2013-05-16;"BE";67
2013-05-17;"BE";67
2013-05-18;"BE";67
2013-05-19;"BE";61
2013-05-20;"BE";61
2013-05-21;"BE";61
2013-05-22;"BE";61
2013-05-23;"BE";61
2013-05-24;"BE";61
2013-05-25;"BE";61
2013-05-26;"BE";69
2013-05-27;"BE";69
2013-05-28;"BE";69
2013-05-29;"BE";69
2013-05-30;"BE";69
2013-05-31;"BE";69
2013-06-01;"BE";69
2013-06-02;"BE";63
2013-06-03;"BE";63
2013-06-04;"BE";63
2013-06-05;"BE";63
2013-06-06;"BE";63
2013-06-07;"BE";63
2013-06-08;"BE";63
2013-06-09;"BE";64
2013-06-10;"BE";64
2013-06-11;"BE";64
2013-06-12;"BE";64
2013-06-13;"BE";64
2013-06-14;"BE";64
2013-06-15;"BE";64
2013-06-16;"BE";71
2013-06-17;"BE";71
2013-06-18;"BE";71
2013-06-19;"BE";71
2013-06-20;"BE";71
2013-06-21;"BE";71
2013-06-22;"BE";71
2013-06-23;"BE";71
2013-06-24;"BE";71
2013-06-25;"BE";71
2013-06-26;"BE";71
2013-06-27;"BE";71
2013-06-28;"BE";71
2013-06-29;"BE";71
2013-06-30;"BE";82
2013-07-01;"BE";82
2013-07-02;"BE";82
2013-07-03;"BE";82
2013-07-04;"BE";82
2013-07-05;"BE";82
2013-07-06;"BE";82
2013-07-07;"BE";75
2013-07-08;"BE";75
2013-07-09;"BE";75
2013-07-10;"BE";75
2013-07-11;"BE";75
2013-07-12;"BE";75
2013-07-13;"BE";75
2013-07-14;"BE";75
2013-07-15;"BE";75
2013-07-16;"BE";75
2013-07-17;"BE";75
2013-07-18;"BE";75
2013-07-19;"BE";75
2013-07-20;"BE";75
2013-07-21;"BE";71
2013-07-22;"BE";71
2013-07-23;"BE";71
2013-07-24;"BE";71
2013-07-25;"BE";71
2013-07-26;"BE";71
2013-07-27;"BE";71
2013-07-28;"BE";88
2013-07-29;"BE";88
2013-07-30;"BE";88
2013-07-31;"BE";88
2013-08-01;"BE";88
2013-08-02;"BE";88
2013-08-03;"BE";88
2013-08-04;"BE";65
2013-08-05;"BE";65
2013-08-06;"BE";65
2013-08-07;"BE";65
2013-08-08;"BE";65
2013-08-09;"BE";65
2013-08-10;"BE";65
2013-08-11;"BE";80
2013-08-12;"BE";80
2013-08-13;"BE";80
2013-08-14;"BE";80
2013-08-15;"BE";80
2013-08-16;"BE";80
2013-08-17;"BE";80
2013-08-18;"BE";69
2013-08-19;"BE";69
2013-08-20;"BE";69
2013-08-21;"BE";69
2013-08-22;"BE";69
2013-08-23;"BE";69
2013-08-24;"BE";69
2013-08-25;"BE";75
2013-08-26;"BE";75
2013-08-27;"BE";75
2013-08-28;"BE";75
2013-08-29;"BE";75
2013-08-30;"BE";75
2013-08-31;"BE";75
2013-09-01;"BE";65
2013-09-02;"BE";65
2013-09-03;"BE";65
2013-09-04;"BE";65
2013-09-05;"BE";65
2013-09-06;"BE";65
2013-09-07;"BE";65
2013-09-08;"BE";79
2013-09-09;"BE";79
2013-09-10;"BE";79
2013-09-11;"BE";79
2013-09-12;"BE";79
2013-09-13;"BE";79
2013-09-14;"BE";79
2013-09-15;"BE";59
2013-09-16;"BE";59
2013-09-17;"BE";59
2013-09-18;"BE";59
2013-09-19;"BE";59
2013-09-20;"BE";59
2013-09-21;"BE";59
2013-09-22;"BE";67
2013-09-23;"BE";67
2013-09-24;"BE";67
2013-09-25;"BE";67
2013-09-26;"BE";67
2013-09-27;"BE";67
2013-09-28;"BE";67
2013-09-29;"BE";62
2013-09-30;"BE";62
2013-10-01;"BE";62
2013-10-02;"BE";62
2013-10-03;"BE";62
2013-10-04;"BE";62
2013-10-05;"BE";62
2013-10-06;"BE";66
2013-10-07;"BE";66
2013-10-08;"BE";66
2013-10-09;"BE";66
2013-10-10;"BE";66
2013-10-11;"BE";66
2013-10-12;"BE";66
2013-10-13;"BE";65
2013-10-14;"BE";65
2013-10-15;"BE";65
2013-10-16;"BE";65
2013-10-17;"BE";65
2013-10-18;"BE";65
2013-10-19;"BE";65
2013-10-20;"BE";67
2013-10-21;"BE";67
2013-10-22;"BE";67
2013-10-23;"BE";67
2013-10-24;"BE";67
2013-10-25;"BE";67
2013-10-26;"BE";67
2013-10-27;"BE";67
2013-10-28;"BE";67
2013-10-29;"BE";67
2013-10-30;"BE";67
2013-10-31;"BE";67
2013-11-01;"BE";67
2013-11-02;"BE";67
2013-11-03;"BE";74
2013-11-04;"BE";74
2013-11-05;"BE";74
2013-11-06;"BE";74
2013-11-07;"BE";74
2013-11-08;"BE";74
2013-11-09;"BE";74
2013-11-10;"BE";62
2013-11-11;"BE";62
2013-11-12;"BE";62
2013-11-13;"BE";62
2013-11-14;"BE";62
2013-11-15;"BE";62
2013-11-16;"BE";62
2013-11-17;"BE";67
2013-11-18;"BE";67
2013-11-19;"BE";67
2013-11-20;"BE";67
2013-11-21;"BE";67
2013-11-22;"BE";67
2013-11-23;"BE";67
2013-11-24;"BE";72
2013-11-25;"BE";72
2013-11-26;"BE";72
2013-11-27;"BE";72
2013-11-28;"BE";72
2013-11-29;"BE";72
2013-11-30;"BE";72
2013-12-01;"BE";86
2013-12-02;"BE";86
2013-12-03;"BE";86
2013-12-04;"BE";86
2013-12-05;"BE";86
2013-12-06;"BE";86
2013-12-07;"BE";86
2013-12-08;"BE";74
2013-12-09;"BE";74
2013-12-10;"BE";74
2013-12-11;"BE";74
2013-12-12;"BE";74
2013-12-13;"BE";74
2013-12-14;"BE";74
2013-12-15;"BE";94
2013-12-16;"BE";94
2013-12-17;"BE";94
2013-12-18;"BE";94
2013-12-19;"BE";94
2013-12-20;"BE";94
2013-12-21;"BE";94
2013-12-22;"BE";66
2013-12-23;"BE";66
2013-12-24;"BE";66
2013-12-25;"BE";66
2013-12-26;"BE";66
2013-12-27;"BE";66
2013-12-28;"BE";66
2013-12-29;"BE";67
2013-12-30;"BE";67
2013-12-31;"BE";67
2014-01-01;"BE";67
2014-01-02;"BE";67
2014-01-03;"BE";67
2014-01-04;"BE";67
2014-01-05;"BE";68
2014-01-06;"BE";68
2014-01-07;"BE";68
2014-01-08;"BE";68
2014-01-09;"BE";68
2014-01-10;"BE";68
2014-01-11;"BE";68
2014-01-12;"BE";56
2014-01-13;"BE";56
2014-01-14;"BE";56
2014-01-15;"BE";56
2014-01-16;"BE";56
2014-01-17;"BE";56
2014-01-18;"BE";56
2014-01-19;"BE";69
2014-01-20;"BE";69
2014-01-21;"BE";69
2014-01-22;"BE";69
2014-01-23;"BE";69
2014-01-24;"BE";69
2014-01-25;"BE";69
2014-01-26;"BE";53
2014-01-27;"BE";53
2014-01-28;"BE";53
2014-01-29;"BE";53
2014-01-30;"BE";53
2014-01-31;"BE";53
2014-02-01;"BE";53
2014-02-02;"BE";65
2014-02-03;"BE";65
2014-02-04;"BE";65
2014-02-05;"BE";65
2014-02-06;"BE";65
2014-02-07;"BE";65
2014-02-08;"BE";65
2014-02-09;"BE";53
2014-02-10;"BE";53
2014-02-11;"BE";53
2014-02-12;"BE";53
2014-02-13;"BE";53
2014-02-14;"BE";53
2014-02-15;"BE";53
2014-02-16;"BE";63
2014-02-17;"BE";63
2014-02-18;"BE";63
2014-02-19;"BE";63
2014-02-20;"BE";63
2014-02-21;"BE";63
2014-02-22;"BE";63
2014-02-23;"BE";53
2014-02-24;"BE";53
2014-02-25;"BE";53
2014-02-26;"BE";53
2014-02-27;"BE";53
2014-02-28;"BE";53
2014-03-01;"BE";53
2014-03-02;"BE";64
2014-03-03;"BE";64
2014-03-04;"BE";64
2014-03-05;"BE";64
2014-03-06;"BE";64
2014-03-07;"BE";64
2014-03-08;"BE";64
2014-03-09;"BE";54
2014-03-10;"BE";54
2014-03-11;"BE";54
2014-03-12;"BE";54
2014-03-13;"BE";54
2014-03-14;"BE";54
2014-03-15;"BE";54
2014-03-16;"BE";60
2014-03-17;"BE";60
2014-03-18;"BE";60
2014-03-19;"BE";60
2014-03-20;"BE";60
2014-03-21;"BE";60
2014-03-22;"BE";60
2014-03-23;"BE";61
2014-03-24;"BE";61
2014-03-25;"BE";61
2014-03-26;"BE";61
2014-03-27;"BE";61
2014-03-28;"BE";61
2014-03-29;"BE";61
2014-03-30;"BE";59
2014-03-31;"BE";59
2014-04-01;"BE";59
2014-04-02;"BE";59
2014-04-03;"BE";59
2014-04-04;"BE";59
2014-04-05;"BE";59
2014-04-06;"BE";56
2014-04-07;"BE";56
2014-04-08;"BE";56
2014-04-09;"BE";56
2014-04-10;"BE";56
2014-04-11;"BE";56
2014-04-12;"BE";56
2014-04-13;"BE";72
2014-04-14;"BE";72
2014-04-15;"BE";72
2014-04-16;"BE";72
2014-04-17;"BE";72
2014-04-18;"BE";72
2014-04-19;"BE";72
2014-04-20;"BE";54
2014-04-21;"BE";54
2014-04-22;"BE";54
2014-04-23;"BE";54
2014-04-24;"BE";54
2014-04-25;"BE";54
2014-04-26;"BE";54
2014-04-27;"BE";69
2014-04-28;"BE";69
2014-04-29;"BE";69
2014-04-30;"BE";69
2014-05-01;"BE";69
2014-05-02;"BE";69
2014-05-03;"BE";69
2014-05-04;"BE";65
2014-05-05;"BE";65
2014-05-06;"BE";65
2014-05-07;"BE";65
2014-05-08;"BE";65
2014-05-09;"BE";65
2014-05-10;"BE";65
2014-05-11;"BE";54
2014-05-12;"BE";54
2014-05-13;"BE";54
2014-05-14;"BE";54
2014-05-15;"BE";54
2014-05-16;"BE";54
2014-05-17;"BE";54
2014-05-18;"BE";70
