"Date";"State";"Goog_trend"
2013-01-01;"BW";61
2013-01-02;"BW";61
2013-01-03;"BW";61
2013-01-04;"BW";61
2013-01-05;"BW";61
2013-01-06;"BW";59
2013-01-07;"BW";59
2013-01-08;"BW";59
2013-01-09;"BW";59
2013-01-10;"BW";59
2013-01-11;"BW";59
2013-01-12;"BW";59
2013-01-13;"BW";47
2013-01-14;"BW";47
2013-01-15;"BW";47
2013-01-16;"BW";47
2013-01-17;"BW";47
2013-01-18;"BW";47
2013-01-19;"BW";47
2013-01-20;"BW";58
2013-01-21;"BW";58
2013-01-22;"BW";58
2013-01-23;"BW";58
2013-01-24;"BW";58
2013-01-25;"BW";58
2013-01-26;"BW";58
2013-01-27;"BW";47
2013-01-28;"BW";47
2013-01-29;"BW";47
2013-01-30;"BW";47
2013-01-31;"BW";47
2013-02-01;"BW";47
2013-02-02;"BW";47
2013-02-03;"BW";55
2013-02-04;"BW";55
2013-02-05;"BW";55
2013-02-06;"BW";55
2013-02-07;"BW";55
2013-02-08;"BW";55
2013-02-09;"BW";55
2013-02-10;"BW";55
2013-02-11;"BW";55
2013-02-12;"BW";55
2013-02-13;"BW";55
2013-02-14;"BW";55
2013-02-15;"BW";55
2013-02-16;"BW";55
2013-02-17;"BW";49
2013-02-18;"BW";49
2013-02-19;"BW";49
2013-02-20;"BW";49
2013-02-21;"BW";49
2013-02-22;"BW";49
2013-02-23;"BW";49
2013-02-24;"BW";49
2013-02-25;"BW";49
2013-02-26;"BW";49
2013-02-27;"BW";49
2013-02-28;"BW";49
2013-03-01;"BW";49
2013-03-02;"BW";49
2013-03-03;"BW";53
2013-03-04;"BW";53
2013-03-05;"BW";53
2013-03-06;"BW";53
2013-03-07;"BW";53
2013-03-08;"BW";53
2013-03-09;"BW";53
2013-03-10;"BW";60
2013-03-11;"BW";60
2013-03-12;"BW";60
2013-03-13;"BW";60
2013-03-14;"BW";60
2013-03-15;"BW";60
2013-03-16;"BW";60
2013-03-17;"BW";67
2013-03-18;"BW";67
2013-03-19;"BW";67
2013-03-20;"BW";67
2013-03-21;"BW";67
2013-03-22;"BW";67
2013-03-23;"BW";67
2013-03-24;"BW";63
2013-03-25;"BW";63
2013-03-26;"BW";63
2013-03-27;"BW";63
2013-03-28;"BW";63
2013-03-29;"BW";63
2013-03-30;"BW";63
2013-03-31;"BW";55
2013-04-01;"BW";55
2013-04-02;"BW";55
2013-04-03;"BW";55
2013-04-04;"BW";55
2013-04-05;"BW";55
2013-04-06;"BW";55
2013-04-07;"BW";63
2013-04-08;"BW";63
2013-04-09;"BW";63
2013-04-10;"BW";63
2013-04-11;"BW";63
2013-04-12;"BW";63
2013-04-13;"BW";63
2013-04-14;"BW";57
2013-04-15;"BW";57
2013-04-16;"BW";57
2013-04-17;"BW";57
2013-04-18;"BW";57
2013-04-19;"BW";57
2013-04-20;"BW";57
2013-04-21;"BW";69
2013-04-22;"BW";69
2013-04-23;"BW";69
2013-04-24;"BW";69
2013-04-25;"BW";69
2013-04-26;"BW";69
2013-04-27;"BW";69
2013-04-28;"BW";51
2013-04-29;"BW";51
2013-04-30;"BW";51
2013-05-01;"BW";51
2013-05-02;"BW";51
2013-05-03;"BW";51
2013-05-04;"BW";51
2013-05-05;"BW";66
2013-05-06;"BW";66
2013-05-07;"BW";66
2013-05-08;"BW";66
2013-05-09;"BW";66
2013-05-10;"BW";66
2013-05-11;"BW";66
2013-05-12;"BW";60
2013-05-13;"BW";60
2013-05-14;"BW";60
2013-05-15;"BW";60
2013-05-16;"BW";60
2013-05-17;"BW";60
2013-05-18;"BW";60
2013-05-19;"BW";56
2013-05-20;"BW";56
2013-05-21;"BW";56
2013-05-22;"BW";56
2013-05-23;"BW";56
2013-05-24;"BW";56
2013-05-25;"BW";56
2013-05-26;"BW";67
2013-05-27;"BW";67
2013-05-28;"BW";67
2013-05-29;"BW";67
2013-05-30;"BW";67
2013-05-31;"BW";67
2013-06-01;"BW";67
2013-06-02;"BW";51
2013-06-03;"BW";51
2013-06-04;"BW";51
2013-06-05;"BW";51
2013-06-06;"BW";51
2013-06-07;"BW";51
2013-06-08;"BW";51
2013-06-09;"BW";57
2013-06-10;"BW";57
2013-06-11;"BW";57
2013-06-12;"BW";57
2013-06-13;"BW";57
2013-06-14;"BW";57
2013-06-15;"BW";57
2013-06-16;"BW";69
2013-06-17;"BW";69
2013-06-18;"BW";69
2013-06-19;"BW";69
2013-06-20;"BW";69
2013-06-21;"BW";69
2013-06-22;"BW";69
2013-06-23;"BW";60
2013-06-24;"BW";60
2013-06-25;"BW";60
2013-06-26;"BW";60
2013-06-27;"BW";60
2013-06-28;"BW";60
2013-06-29;"BW";60
2013-06-30;"BW";56
2013-07-01;"BW";56
2013-07-02;"BW";56
2013-07-03;"BW";56
2013-07-04;"BW";56
2013-07-05;"BW";56
2013-07-06;"BW";56
2013-07-07;"BW";53
2013-07-08;"BW";53
2013-07-09;"BW";53
2013-07-10;"BW";53
2013-07-11;"BW";53
2013-07-12;"BW";53
2013-07-13;"BW";53
2013-07-14;"BW";65
2013-07-15;"BW";65
2013-07-16;"BW";65
2013-07-17;"BW";65
2013-07-18;"BW";65
2013-07-19;"BW";65
2013-07-20;"BW";65
2013-07-21;"BW";50
2013-07-22;"BW";50
2013-07-23;"BW";50
2013-07-24;"BW";50
2013-07-25;"BW";50
2013-07-26;"BW";50
2013-07-27;"BW";50
2013-07-28;"BW";57
2013-07-29;"BW";57
2013-07-30;"BW";57
2013-07-31;"BW";57
2013-08-01;"BW";57
2013-08-02;"BW";57
2013-08-03;"BW";57
2013-08-04;"BW";51
2013-08-05;"BW";51
2013-08-06;"BW";51
2013-08-07;"BW";51
2013-08-08;"BW";51
2013-08-09;"BW";51
2013-08-10;"BW";51
2013-08-11;"BW";68
2013-08-12;"BW";68
2013-08-13;"BW";68
2013-08-14;"BW";68
2013-08-15;"BW";68
2013-08-16;"BW";68
2013-08-17;"BW";68
2013-08-18;"BW";70
2013-08-19;"BW";70
2013-08-20;"BW";70
2013-08-21;"BW";70
2013-08-22;"BW";70
2013-08-23;"BW";70
2013-08-24;"BW";70
2013-08-25;"BW";63
2013-08-26;"BW";63
2013-08-27;"BW";63
2013-08-28;"BW";63
2013-08-29;"BW";63
2013-08-30;"BW";63
2013-08-31;"BW";63
2013-09-01;"BW";54
2013-09-02;"BW";54
2013-09-03;"BW";54
2013-09-04;"BW";54
2013-09-05;"BW";54
2013-09-06;"BW";54
2013-09-07;"BW";54
2013-09-08;"BW";60
2013-09-09;"BW";60
2013-09-10;"BW";60
2013-09-11;"BW";60
2013-09-12;"BW";60
2013-09-13;"BW";60
2013-09-14;"BW";60
2013-09-15;"BW";43
2013-09-16;"BW";43
2013-09-17;"BW";43
2013-09-18;"BW";43
2013-09-19;"BW";43
2013-09-20;"BW";43
2013-09-21;"BW";43
2013-09-22;"BW";55
2013-09-23;"BW";55
2013-09-24;"BW";55
2013-09-25;"BW";55
2013-09-26;"BW";55
2013-09-27;"BW";55
2013-09-28;"BW";55
2013-09-29;"BW";43
2013-09-30;"BW";43
2013-10-01;"BW";43
2013-10-02;"BW";43
2013-10-03;"BW";43
2013-10-04;"BW";43
2013-10-05;"BW";43
2013-10-06;"BW";58
2013-10-07;"BW";58
2013-10-08;"BW";58
2013-10-09;"BW";58
2013-10-10;"BW";58
2013-10-11;"BW";58
2013-10-12;"BW";58
2013-10-13;"BW";57
2013-10-14;"BW";57
2013-10-15;"BW";57
2013-10-16;"BW";57
2013-10-17;"BW";57
2013-10-18;"BW";57
2013-10-19;"BW";57
2013-10-20;"BW";60
2013-10-21;"BW";60
2013-10-22;"BW";60
2013-10-23;"BW";60
2013-10-24;"BW";60
2013-10-25;"BW";60
2013-10-26;"BW";60
2013-10-27;"BW";60
2013-10-28;"BW";60
2013-10-29;"BW";60
2013-10-30;"BW";60
2013-10-31;"BW";60
2013-11-01;"BW";60
2013-11-02;"BW";60
2013-11-03;"BW";64
2013-11-04;"BW";64
2013-11-05;"BW";64
2013-11-06;"BW";64
2013-11-07;"BW";64
2013-11-08;"BW";64
2013-11-09;"BW";64
2013-11-10;"BW";54
2013-11-11;"BW";54
2013-11-12;"BW";54
2013-11-13;"BW";54
2013-11-14;"BW";54
2013-11-15;"BW";54
2013-11-16;"BW";54
2013-11-17;"BW";67
2013-11-18;"BW";67
2013-11-19;"BW";67
2013-11-20;"BW";67
2013-11-21;"BW";67
2013-11-22;"BW";67
2013-11-23;"BW";67
2013-11-24;"BW";60
2013-11-25;"BW";60
2013-11-26;"BW";60
2013-11-27;"BW";60
2013-11-28;"BW";60
2013-11-29;"BW";60
2013-11-30;"BW";60
2013-12-01;"BW";71
2013-12-02;"BW";71
2013-12-03;"BW";71
2013-12-04;"BW";71
2013-12-05;"BW";71
2013-12-06;"BW";71
2013-12-07;"BW";71
2013-12-08;"BW";66
2013-12-09;"BW";66
2013-12-10;"BW";66
2013-12-11;"BW";66
2013-12-12;"BW";66
2013-12-13;"BW";66
2013-12-14;"BW";66
2013-12-15;"BW";80
2013-12-16;"BW";80
2013-12-17;"BW";80
2013-12-18;"BW";80
2013-12-19;"BW";80
2013-12-20;"BW";80
2013-12-21;"BW";80
2013-12-22;"BW";51
2013-12-23;"BW";51
2013-12-24;"BW";51
2013-12-25;"BW";51
2013-12-26;"BW";51
2013-12-27;"BW";51
2013-12-28;"BW";51
2013-12-29;"BW";71
2013-12-30;"BW";71
2013-12-31;"BW";71
2014-01-01;"BW";71
2014-01-02;"BW";71
2014-01-03;"BW";71
2014-01-04;"BW";71
2014-01-05;"BW";59
2014-01-06;"BW";59
2014-01-07;"BW";59
2014-01-08;"BW";59
2014-01-09;"BW";59
2014-01-10;"BW";59
2014-01-11;"BW";59
2014-01-12;"BW";64
2014-01-13;"BW";64
2014-01-14;"BW";64
2014-01-15;"BW";64
2014-01-16;"BW";64
2014-01-17;"BW";64
2014-01-18;"BW";64
2014-01-19;"BW";68
2014-01-20;"BW";68
2014-01-21;"BW";68
2014-01-22;"BW";68
2014-01-23;"BW";68
2014-01-24;"BW";68
2014-01-25;"BW";68
2014-01-26;"BW";58
2014-01-27;"BW";58
2014-01-28;"BW";58
2014-01-29;"BW";58
2014-01-30;"BW";58
2014-01-31;"BW";58
2014-02-01;"BW";58
2014-02-02;"BW";61
2014-02-03;"BW";61
2014-02-04;"BW";61
2014-02-05;"BW";61
2014-02-06;"BW";61
2014-02-07;"BW";61
2014-02-08;"BW";61
2014-02-09;"BW";62
2014-02-10;"BW";62
2014-02-11;"BW";62
2014-02-12;"BW";62
2014-02-13;"BW";62
2014-02-14;"BW";62
2014-02-15;"BW";62
2014-02-16;"BW";70
2014-02-17;"BW";70
2014-02-18;"BW";70
2014-02-19;"BW";70
2014-02-20;"BW";70
2014-02-21;"BW";70
2014-02-22;"BW";70
2014-02-23;"BW";61
2014-02-24;"BW";61
2014-02-25;"BW";61
2014-02-26;"BW";61
2014-02-27;"BW";61
2014-02-28;"BW";61
2014-03-01;"BW";61
2014-03-02;"BW";62
2014-03-03;"BW";62
2014-03-04;"BW";62
2014-03-05;"BW";62
2014-03-06;"BW";62
2014-03-07;"BW";62
2014-03-08;"BW";62
2014-03-09;"BW";46
2014-03-10;"BW";46
2014-03-11;"BW";46
2014-03-12;"BW";46
2014-03-13;"BW";46
2014-03-14;"BW";46
