"Date";"State";"Goog_trend"
2013-01-01;"BY";60
2013-01-02;"BY";60
2013-01-03;"BY";60
2013-01-04;"BY";60
2013-01-05;"BY";60
2013-01-06;"BY";56
2013-01-07;"BY";56
2013-01-08;"BY";56
2013-01-09;"BY";56
2013-01-10;"BY";56
2013-01-11;"BY";56
2013-01-12;"BY";56
2013-01-13;"BY";48
2013-01-14;"BY";48
2013-01-15;"BY";48
2013-01-16;"BY";48
2013-01-17;"BY";48
2013-01-18;"BY";48
2013-01-19;"BY";48
2013-01-20;"BY";52
2013-01-21;"BY";52
2013-01-22;"BY";52
2013-01-23;"BY";52
2013-01-24;"BY";52
2013-01-25;"BY";52
2013-01-26;"BY";52
2013-01-27;"BY";48
2013-01-28;"BY";48
2013-01-29;"BY";48
2013-01-30;"BY";48
2013-01-31;"BY";48
2013-02-01;"BY";48
2013-02-02;"BY";48
2013-02-03;"BY";51
2013-02-04;"BY";51
2013-02-05;"BY";51
2013-02-06;"BY";51
2013-02-07;"BY";51
2013-02-08;"BY";51
2013-02-09;"BY";51
2013-02-10;"BY";45
2013-02-11;"BY";45
2013-02-12;"BY";45
2013-02-13;"BY";45
2013-02-14;"BY";45
2013-02-15;"BY";45
2013-02-16;"BY";45
2013-02-17;"BY";59
2013-02-18;"BY";59
2013-02-19;"BY";59
2013-02-20;"BY";59
2013-02-21;"BY";59
2013-02-22;"BY";59
2013-02-23;"BY";59
2013-02-24;"BY";47
2013-02-25;"BY";47
2013-02-26;"BY";47
2013-02-27;"BY";47
2013-02-28;"BY";47
2013-03-01;"BY";47
2013-03-02;"BY";47
2013-03-03;"BY";55
2013-03-04;"BY";55
2013-03-05;"BY";55
2013-03-06;"BY";55
2013-03-07;"BY";55
2013-03-08;"BY";55
2013-03-09;"BY";55
2013-03-10;"BY";53
2013-03-11;"BY";53
2013-03-12;"BY";53
2013-03-13;"BY";53
2013-03-14;"BY";53
2013-03-15;"BY";53
2013-03-16;"BY";53
2013-03-17;"BY";66
2013-03-18;"BY";66
2013-03-19;"BY";66
2013-03-20;"BY";66
2013-03-21;"BY";66
2013-03-22;"BY";66
2013-03-23;"BY";66
2013-03-24;"BY";53
2013-03-25;"BY";53
2013-03-26;"BY";53
2013-03-27;"BY";53
2013-03-28;"BY";53
2013-03-29;"BY";53
2013-03-30;"BY";53
2013-03-31;"BY";58
2013-04-01;"BY";58
2013-04-02;"BY";58
