"Date";"State";"Goog_trend"
2013-01-01;"HE";61
2013-01-02;"HE";61
2013-01-03;"HE";61
2013-01-04;"HE";61
2013-01-05;"HE";61
2013-01-06;"HE";73
2013-01-07;"HE";73
2013-01-08;"HE";73
2013-01-09;"HE";73
2013-01-10;"HE";73
2013-01-11;"HE";73
2013-01-12;"HE";73
2013-01-13;"HE";54
2013-01-14;"HE";54
2013-01-15;"HE";54
2013-01-16;"HE";54
2013-01-17;"HE";54
2013-01-18;"HE";54
2013-01-19;"HE";54
2013-01-20;"HE";64
2013-01-21;"HE";64
2013-01-22;"HE";64
2013-01-23;"HE";64
2013-01-24;"HE";64
2013-01-25;"HE";64
2013-01-26;"HE";64
2013-01-27;"HE";50
2013-01-28;"HE";50
2013-01-29;"HE";50
2013-01-30;"HE";50
2013-01-31;"HE";50
2013-02-01;"HE";50
2013-02-02;"HE";50
2013-02-03;"HE";56
2013-02-04;"HE";56
2013-02-05;"HE";56
2013-02-06;"HE";56
2013-02-07;"HE";56
2013-02-08;"HE";56
2013-02-09;"HE";56
2013-02-10;"HE";52
2013-02-11;"HE";52
2013-02-12;"HE";52
2013-02-13;"HE";52
2013-02-14;"HE";52
2013-02-15;"HE";52
2013-02-16;"HE";52
2013-02-17;"HE";66
2013-02-18;"HE";66
2013-02-19;"HE";66
2013-02-20;"HE";66
2013-02-21;"HE";66
2013-02-22;"HE";66
2013-02-23;"HE";66
2013-02-24;"HE";53
2013-02-25;"HE";53
2013-02-26;"HE";53
2013-02-27;"HE";53
2013-02-28;"HE";53
2013-03-01;"HE";53
2013-03-02;"HE";53
2013-03-03;"HE";59
2013-03-04;"HE";59
2013-03-05;"HE";59
2013-03-06;"HE";59
2013-03-07;"HE";59
2013-03-08;"HE";59
2013-03-09;"HE";59
2013-03-10;"HE";57
2013-03-11;"HE";57
2013-03-12;"HE";57
2013-03-13;"HE";57
2013-03-14;"HE";57
2013-03-15;"HE";57
2013-03-16;"HE";57
2013-03-17;"HE";70
2013-03-18;"HE";70
2013-03-19;"HE";70
2013-03-20;"HE";70
2013-03-21;"HE";70
2013-03-22;"HE";70
2013-03-23;"HE";70
2013-03-24;"HE";62
2013-03-25;"HE";62
2013-03-26;"HE";62
2013-03-27;"HE";62
2013-03-28;"HE";62
2013-03-29;"HE";62
2013-03-30;"HE";62
2013-03-31;"HE";61
2013-04-01;"HE";61
2013-04-02;"HE";61
2013-04-03;"HE";61
2013-04-04;"HE";61
2013-04-05;"HE";61
2013-04-06;"HE";61
2013-04-07;"HE";58
2013-04-08;"HE";58
2013-04-09;"HE";58
2013-04-10;"HE";58
2013-04-11;"HE";58
2013-04-12;"HE";58
2013-04-13;"HE";58
2013-04-14;"HE";44
2013-04-15;"HE";44
2013-04-16;"HE";44
2013-04-17;"HE";44
2013-04-18;"HE";44
2013-04-19;"HE";44
2013-04-20;"HE";44
2013-04-21;"HE";63
2013-04-22;"HE";63
2013-04-23;"HE";63
2013-04-24;"HE";63
2013-04-25;"HE";63
2013-04-26;"HE";63
