"Date";"State";"Goog_trend"
2013-01-01;"HH";60
2013-01-02;"HH";60
2013-01-03;"HH";60
2013-01-04;"HH";60
2013-01-05;"HH";60
2013-01-06;"HH";63
2013-01-07;"HH";63
2013-01-08;"HH";63
2013-01-09;"HH";63
2013-01-10;"HH";63
2013-01-11;"HH";63
2013-01-12;"HH";63
2013-01-13;"HH";48
2013-01-14;"HH";48
2013-01-15;"HH";48
2013-01-16;"HH";48
2013-01-17;"HH";48
2013-01-18;"HH";48
2013-01-19;"HH";48
2013-01-20;"HH";53
2013-01-21;"HH";53
2013-01-22;"HH";53
2013-01-23;"HH";53
2013-01-24;"HH";53
2013-01-25;"HH";53
2013-01-26;"HH";53
2013-01-27;"HH";47
2013-01-28;"HH";47
2013-01-29;"HH";47
2013-01-30;"HH";47
2013-01-31;"HH";47
2013-02-01;"HH";47
2013-02-02;"HH";47
2013-02-03;"HH";55
2013-02-04;"HH";55
2013-02-05;"HH";55
2013-02-06;"HH";55
2013-02-07;"HH";55
2013-02-08;"HH";55
2013-02-09;"HH";55
2013-02-10;"HH";45
2013-02-11;"HH";45
2013-02-12;"HH";45
2013-02-13;"HH";45
2013-02-14;"HH";45
2013-02-15;"HH";45
2013-02-16;"HH";45
2013-02-17;"HH";61
2013-02-18;"HH";61
2013-02-19;"HH";61
2013-02-20;"HH";61
2013-02-21;"HH";61
2013-02-22;"HH";61
2013-02-23;"HH";61
2013-02-24;"HH";41
2013-02-25;"HH";41
2013-02-26;"HH";41
2013-02-27;"HH";41
2013-02-28;"HH";41
2013-03-01;"HH";41
2013-03-02;"HH";41
2013-03-03;"HH";48
2013-03-04;"HH";48
2013-03-05;"HH";48
2013-03-06;"HH";48
2013-03-07;"HH";48
2013-03-08;"HH";48
2013-03-09;"HH";48
2013-03-10;"HH";43
2013-03-11;"HH";43
2013-03-12;"HH";43
2013-03-13;"HH";43
2013-03-14;"HH";43
2013-03-15;"HH";43
2013-03-16;"HH";43
2013-03-17;"HH";58
2013-03-18;"HH";58
2013-03-19;"HH";58
2013-03-20;"HH";58
2013-03-21;"HH";58
2013-03-22;"HH";58
2013-03-23;"HH";58
2013-03-24;"HH";55
2013-03-25;"HH";55
2013-03-26;"HH";55
2013-03-27;"HH";55
2013-03-28;"HH";55
2013-03-29;"HH";55
2013-03-30;"HH";55
2013-03-31;"HH";47
2013-04-01;"HH";47
2013-04-02;"HH";47
2013-04-03;"HH";47
2013-04-04;"HH";47
2013-04-05;"HH";47
2013-04-06;"HH";47
2013-04-07;"HH";50
2013-04-08;"HH";50
2013-04-09;"HH";50
2013-04-10;"HH";50
2013-04-11;"HH";50
2013-04-12;"HH";50
2013-04-13;"HH";50
2013-04-14;"HH";50
2013-04-15;"HH";50
2013-04-16;"HH";50
2013-04-17;"HH";50
2013-04-18;"HH";50
2013-04-19;"HH";50
2013-04-20;"HH";50
2013-04-21;"HH";54
2013-04-22;"HH";54
2013-04-23;"HH";54
2013-04-24;"HH";54
2013-04-25;"HH";54
2013-04-26;"HH";54
2013-04-27;"HH";54
2013-04-28;"HH";46
2013-04-29;"HH";46
2013-04-30;"HH";46
2013-05-01;"HH";46
2013-05-02;"HH";46
2013-05-03;"HH";46
2013-05-04;"HH";46
2013-05-05;"HH";44
2013-05-06;"HH";44
2013-05-07;"HH";44
2013-05-08;"HH";44
2013-05-09;"HH";44
2013-05-10;"HH";44
2013-05-11;"HH";44
2013-05-12;"HH";54
2013-05-13;"HH";54
2013-05-14;"HH";54
2013-05-15;"HH";54
2013-05-16;"HH";54
2013-05-17;"HH";54
2013-05-18;"HH";54
2013-05-19;"HH";44
2013-05-20;"HH";44
2013-05-21;"HH";44
2013-05-22;"HH";44
2013-05-23;"HH";44
2013-05-24;"HH";44
2013-05-25;"HH";44
2013-05-26;"HH";57
2013-05-27;"HH";57
2013-05-28;"HH";57
2013-05-29;"HH";57
2013-05-30;"HH";57
2013-05-31;"HH";57
2013-06-01;"HH";57
2013-06-02;"HH";45
2013-06-03;"HH";45
2013-06-04;"HH";45
2013-06-05;"HH";45
2013-06-06;"HH";45
2013-06-07;"HH";45
2013-06-08;"HH";45
2013-06-09;"HH";45
2013-06-10;"HH";45
2013-06-11;"HH";45
2013-06-12;"HH";45
2013-06-13;"HH";45
2013-06-14;"HH";45
2013-06-15;"HH";45
2013-06-16;"HH";57
2013-06-17;"HH";57
2013-06-18;"HH";57
2013-06-19;"HH";57
2013-06-20;"HH";57
2013-06-21;"HH";57
2013-06-22;"HH";57
2013-06-23;"HH";45
2013-06-24;"HH";45
2013-06-25;"HH";45
2013-06-26;"HH";45
2013-06-27;"HH";45
2013-06-28;"HH";45
2013-06-29;"HH";45
2013-06-30;"HH";67
2013-07-01;"HH";67
2013-07-02;"HH";67
2013-07-03;"HH";67
2013-07-04;"HH";67
2013-07-05;"HH";67
2013-07-06;"HH";67
2013-07-07;"HH";61
2013-07-08;"HH";61
2013-07-09;"HH";61
2013-07-10;"HH";61
2013-07-11;"HH";61
2013-07-12;"HH";61
2013-07-13;"HH";61
2013-07-14;"HH";73
2013-07-15;"HH";73
2013-07-16;"HH";73
2013-07-17;"HH";73
2013-07-18;"HH";73
2013-07-19;"HH";73
2013-07-20;"HH";73
2013-07-21;"HH";64
2013-07-22;"HH";64
2013-07-23;"HH";64
2013-07-24;"HH";64
2013-07-25;"HH";64
2013-07-26;"HH";64
2013-07-27;"HH";64
2013-07-28;"HH";67
2013-07-29;"HH";67
2013-07-30;"HH";67
2013-07-31;"HH";67
2013-08-01;"HH";67
2013-08-02;"HH";67
2013-08-03;"HH";67
2013-08-04;"HH";60
2013-08-05;"HH";60
2013-08-06;"HH";60
2013-08-07;"HH";60
2013-08-08;"HH";60
2013-08-09;"HH";60
2013-08-10;"HH";60
2013-08-11;"HH";67
2013-08-12;"HH";67
2013-08-13;"HH";67
2013-08-14;"HH";67
2013-08-15;"HH";67
2013-08-16;"HH";67
2013-08-17;"HH";67
2013-08-18;"HH";62
2013-08-19;"HH";62
2013-08-20;"HH";62
2013-08-21;"HH";62
2013-08-22;"HH";62
2013-08-23;"HH";62
2013-08-24;"HH";62
2013-08-25;"HH";73
2013-08-26;"HH";73
2013-08-27;"HH";73
2013-08-28;"HH";73
2013-08-29;"HH";73
2013-08-30;"HH";73
2013-08-31;"HH";73
2013-09-01;"HH";53
2013-09-02;"HH";53
2013-09-03;"HH";53
2013-09-04;"HH";53
2013-09-05;"HH";53
2013-09-06;"HH";53
2013-09-07;"HH";53
2013-09-08;"HH";72
2013-09-09;"HH";72
2013-09-10;"HH";72
2013-09-11;"HH";72
2013-09-12;"HH";72
2013-09-13;"HH";72
2013-09-14;"HH";72
2013-09-15;"HH";45
2013-09-16;"HH";45
2013-09-17;"HH";45
2013-09-18;"HH";45
2013-09-19;"HH";45
2013-09-20;"HH";45
2013-09-21;"HH";45
2013-09-22;"HH";58
2013-09-23;"HH";58
2013-09-24;"HH";58
2013-09-25;"HH";58
2013-09-26;"HH";58
2013-09-27;"HH";58
2013-09-28;"HH";58
2013-09-29;"HH";47
2013-09-30;"HH";47
2013-10-01;"HH";47
2013-10-02;"HH";47
2013-10-03;"HH";47
2013-10-04;"HH";47
2013-10-05;"HH";47
2013-10-06;"HH";56
2013-10-07;"HH";56
2013-10-08;"HH";56
2013-10-09;"HH";56
2013-10-10;"HH";56
2013-10-11;"HH";56
2013-10-12;"HH";56
2013-10-13;"HH";50
2013-10-14;"HH";50
2013-10-15;"HH";50
2013-10-16;"HH";50
2013-10-17;"HH";50
2013-10-18;"HH";50
2013-10-19;"HH";50
2013-10-20;"HH";59
2013-10-21;"HH";59
2013-10-22;"HH";59
2013-10-23;"HH";59
2013-10-24;"HH";59
2013-10-25;"HH";59
2013-10-26;"HH";59
2013-10-27;"HH";55
2013-10-28;"HH";55
2013-10-29;"HH";55
2013-10-30;"HH";55
2013-10-31;"HH";55
2013-11-01;"HH";55
2013-11-02;"HH";55
2013-11-03;"HH";63
2013-11-04;"HH";63
2013-11-05;"HH";63
2013-11-06;"HH";63
2013-11-07;"HH";63
2013-11-08;"HH";63
2013-11-09;"HH";63
2013-11-10;"HH";51
2013-11-11;"HH";51
2013-11-12;"HH";51
2013-11-13;"HH";51
2013-11-14;"HH";51
2013-11-15;"HH";51
2013-11-16;"HH";51
2013-11-17;"HH";67
2013-11-18;"HH";67
2013-11-19;"HH";67
2013-11-20;"HH";67
2013-11-21;"HH";67
2013-11-22;"HH";67
2013-11-23;"HH";67
2013-11-24;"HH";67
2013-11-25;"HH";67
2013-11-26;"HH";67
2013-11-27;"HH";67
2013-11-28;"HH";67
2013-11-29;"HH";67
2013-11-30;"HH";67
2013-12-01;"HH";64
2013-12-02;"HH";64
2013-12-03;"HH";64
2013-12-04;"HH";64
2013-12-05;"HH";64
2013-12-06;"HH";64
2013-12-07;"HH";64
2013-12-08;"HH";75
2013-12-09;"HH";75
2013-12-10;"HH";75
2013-12-11;"HH";75
2013-12-12;"HH";75
2013-12-13;"HH";75
2013-12-14;"HH";75
2013-12-15;"HH";88
2013-12-16;"HH";88
2013-12-17;"HH";88
2013-12-18;"HH";88
2013-12-19;"HH";88
2013-12-20;"HH";88
2013-12-21;"HH";88
2013-12-22;"HH";59
2013-12-23;"HH";59
2013-12-24;"HH";59
2013-12-25;"HH";59
2013-12-26;"HH";59
2013-12-27;"HH";59
2013-12-28;"HH";59
2013-12-29;"HH";66
2013-12-30;"HH";66
2013-12-31;"HH";66
2014-01-01;"HH";66
2014-01-02;"HH";66
2014-01-03;"HH";66
2014-01-04;"HH";66
2014-01-05;"HH";47
2014-01-06;"HH";47
2014-01-07;"HH";47
2014-01-08;"HH";47
2014-01-09;"HH";47
2014-01-10;"HH";47
2014-01-11;"HH";47
2014-01-12;"HH";49
2014-01-13;"HH";49
2014-01-14;"HH";49
2014-01-15;"HH";49
2014-01-16;"HH";49
2014-01-17;"HH";49
2014-01-18;"HH";49
2014-01-19;"HH";62
2014-01-20;"HH";62
2014-01-21;"HH";62
2014-01-22;"HH";62
2014-01-23;"HH";62
2014-01-24;"HH";62
2014-01-25;"HH";62
2014-01-26;"HH";51
2014-01-27;"HH";51
2014-01-28;"HH";51
2014-01-29;"HH";51
2014-01-30;"HH";51
2014-01-31;"HH";51
2014-02-01;"HH";51
2014-02-02;"HH";74
2014-02-03;"HH";74
2014-02-04;"HH";74
2014-02-05;"HH";74
2014-02-06;"HH";74
2014-02-07;"HH";74
2014-02-08;"HH";74
2014-02-09;"HH";50
2014-02-10;"HH";50
2014-02-11;"HH";50
2014-02-12;"HH";50
2014-02-13;"HH";50
2014-02-14;"HH";50
2014-02-15;"HH";50
2014-02-16;"HH";56
2014-02-17;"HH";56
2014-02-18;"HH";56
2014-02-19;"HH";56
2014-02-20;"HH";56
2014-02-21;"HH";56
2014-02-22;"HH";56
2014-02-23;"HH";58
2014-02-24;"HH";58
2014-02-25;"HH";58
2014-02-26;"HH";58
