"Date";"State";"Goog_trend"
2013-01-01;"NI";51
2013-01-02;"NI";51
2013-01-03;"NI";51
2013-01-04;"NI";51
2013-01-05;"NI";51
2013-01-06;"NI";52
2013-01-07;"NI";52
2013-01-08;"NI";52
2013-01-09;"NI";52
2013-01-10;"NI";52
2013-01-11;"NI";52
2013-01-12;"NI";52
2013-01-13;"NI";39
2013-01-14;"NI";39
2013-01-15;"NI";39
2013-01-16;"NI";39
2013-01-17;"NI";39
2013-01-18;"NI";39
2013-01-19;"NI";39
2013-01-20;"NI";45
2013-01-21;"NI";45
2013-01-22;"NI";45
2013-01-23;"NI";45
2013-01-24;"NI";45
2013-01-25;"NI";45
2013-01-26;"NI";45
2013-01-27;"NI";43
2013-01-28;"NI";43
2013-01-29;"NI";43
2013-01-30;"NI";43
2013-01-31;"NI";43
2013-02-01;"NI";43
2013-02-02;"NI";43
2013-02-03;"NI";45
2013-02-04;"NI";45
2013-02-05;"NI";45
2013-02-06;"NI";45
2013-02-07;"NI";45
2013-02-08;"NI";45
2013-02-09;"NI";45
2013-02-10;"NI";43
2013-02-11;"NI";43
2013-02-12;"NI";43
2013-02-13;"NI";43
2013-02-14;"NI";43
2013-02-15;"NI";43
2013-02-16;"NI";43
2013-02-17;"NI";58
2013-02-18;"NI";58
2013-02-19;"NI";58
2013-02-20;"NI";58
2013-02-21;"NI";58
2013-02-22;"NI";58
2013-02-23;"NI";58
2013-02-24;"NI";50
2013-02-25;"NI";50
2013-02-26;"NI";50
2013-02-27;"NI";50
2013-02-28;"NI";50
2013-03-01;"NI";50
2013-03-02;"NI";50
2013-03-03;"NI";52
2013-03-04;"NI";52
2013-03-05;"NI";52
2013-03-06;"NI";52
2013-03-07;"NI";52
2013-03-08;"NI";52
2013-03-09;"NI";52
2013-03-10;"NI";50
2013-03-11;"NI";50
2013-03-12;"NI";50
2013-03-13;"NI";50
2013-03-14;"NI";50
2013-03-15;"NI";50
2013-03-16;"NI";50
2013-03-17;"NI";63
2013-03-18;"NI";63
2013-03-19;"NI";63
2013-03-20;"NI";63
2013-03-21;"NI";63
2013-03-22;"NI";63
2013-03-23;"NI";63
2013-03-24;"NI";57
2013-03-25;"NI";57
2013-03-26;"NI";57
2013-03-27;"NI";57
2013-03-28;"NI";57
2013-03-29;"NI";57
2013-03-30;"NI";57
2013-03-31;"NI";52
2013-04-01;"NI";52
2013-04-02;"NI";52
2013-04-03;"NI";52
2013-04-04;"NI";52
2013-04-05;"NI";52
2013-04-06;"NI";52
2013-04-07;"NI";55
2013-04-08;"NI";55
2013-04-09;"NI";55
2013-04-10;"NI";55
2013-04-11;"NI";55
2013-04-12;"NI";55
2013-04-13;"NI";55
2013-04-14;"NI";48
2013-04-15;"NI";48
2013-04-16;"NI";48
2013-04-17;"NI";48
2013-04-18;"NI";48
2013-04-19;"NI";48
2013-04-20;"NI";48
2013-04-21;"NI";53
2013-04-22;"NI";53
2013-04-23;"NI";53
2013-04-24;"NI";53
2013-04-25;"NI";53
2013-04-26;"NI";53
2013-04-27;"NI";53
2013-04-28;"NI";55
2013-04-29;"NI";55
2013-04-30;"NI";55
2013-05-01;"NI";55
