"Date";"State";"Goog_trend"
2013-01-01;"NW";53
2013-01-02;"NW";53
2013-01-03;"NW";53
2013-01-04;"NW";53
2013-01-05;"NW";53
2013-01-06;"NW";63
2013-01-07;"NW";63
2013-01-08;"NW";63
2013-01-09;"NW";63
2013-01-10;"NW";63
2013-01-11;"NW";63
2013-01-12;"NW";63
2013-01-13;"NW";48
2013-01-14;"NW";48
2013-01-15;"NW";48
2013-01-16;"NW";48
2013-01-17;"NW";48
2013-01-18;"NW";48
2013-01-19;"NW";48
2013-01-20;"NW";55
2013-01-21;"NW";55
2013-01-22;"NW";55
2013-01-23;"NW";55
2013-01-24;"NW";55
2013-01-25;"NW";55
2013-01-26;"NW";55
2013-01-27;"NW";50
2013-01-28;"NW";50
2013-01-29;"NW";50
2013-01-30;"NW";50
2013-01-31;"NW";50
2013-02-01;"NW";50
2013-02-02;"NW";50
2013-02-03;"NW";64
2013-02-04;"NW";64
2013-02-05;"NW";64
2013-02-06;"NW";64
2013-02-07;"NW";64
2013-02-08;"NW";64
2013-02-09;"NW";64
2013-02-10;"NW";47
2013-02-11;"NW";47
2013-02-12;"NW";47
2013-02-13;"NW";47
2013-02-14;"NW";47
2013-02-15;"NW";47
2013-02-16;"NW";47
2013-02-17;"NW";60
2013-02-18;"NW";60
2013-02-19;"NW";60
2013-02-20;"NW";60
2013-02-21;"NW";60
2013-02-22;"NW";60
2013-02-23;"NW";60
2013-02-24;"NW";51
2013-02-25;"NW";51
2013-02-26;"NW";51
2013-02-27;"NW";51
2013-02-28;"NW";51
2013-03-01;"NW";51
2013-03-02;"NW";51
2013-03-03;"NW";56
2013-03-04;"NW";56
2013-03-05;"NW";56
2013-03-06;"NW";56
2013-03-07;"NW";56
2013-03-08;"NW";56
2013-03-09;"NW";56
2013-03-10;"NW";51
2013-03-11;"NW";51
2013-03-12;"NW";51
2013-03-13;"NW";51
2013-03-14;"NW";51
2013-03-15;"NW";51
2013-03-16;"NW";51
2013-03-17;"NW";61
2013-03-18;"NW";61
2013-03-19;"NW";61
2013-03-20;"NW";61
2013-03-21;"NW";61
2013-03-22;"NW";61
2013-03-23;"NW";61
2013-03-24;"NW";60
2013-03-25;"NW";60
2013-03-26;"NW";60
2013-03-27;"NW";60
2013-03-28;"NW";60
2013-03-29;"NW";60
2013-03-30;"NW";60
2013-03-31;"NW";57
2013-04-01;"NW";57
2013-04-02;"NW";57
2013-04-03;"NW";57
2013-04-04;"NW";57
2013-04-05;"NW";57
2013-04-06;"NW";57
2013-04-07;"NW";60
2013-04-08;"NW";60
2013-04-09;"NW";60
2013-04-10;"NW";60
2013-04-11;"NW";60
2013-04-12;"NW";60
2013-04-13;"NW";60
2013-04-14;"NW";51
2013-04-15;"NW";51
2013-04-16;"NW";51
2013-04-17;"NW";51
2013-04-18;"NW";51
2013-04-19;"NW";51
2013-04-20;"NW";51
2013-04-21;"NW";58
2013-04-22;"NW";58
2013-04-23;"NW";58
2013-04-24;"NW";58
2013-04-25;"NW";58
2013-04-26;"NW";58
2013-04-27;"NW";58
2013-04-28;"NW";53
2013-04-29;"NW";53
2013-04-30;"NW";53
2013-05-01;"NW";53
2013-05-02;"NW";53
2013-05-03;"NW";53
2013-05-04;"NW";53
2013-05-05;"NW";62
2013-05-06;"NW";62
2013-05-07;"NW";62
2013-05-08;"NW";62
2013-05-09;"NW";62
2013-05-10;"NW";62
2013-05-11;"NW";62
2013-05-12;"NW";62
2013-05-13;"NW";62
2013-05-14;"NW";62
2013-05-15;"NW";62
2013-05-16;"NW";62
2013-05-17;"NW";62
2013-05-18;"NW";62
2013-05-19;"NW";54
2013-05-20;"NW";54
2013-05-21;"NW";54
2013-05-22;"NW";54
2013-05-23;"NW";54
2013-05-24;"NW";54
2013-05-25;"NW";54
2013-05-26;"NW";64
2013-05-27;"NW";64
2013-05-28;"NW";64
2013-05-29;"NW";64
2013-05-30;"NW";64
2013-05-31;"NW";64
2013-06-01;"NW";64
2013-06-02;"NW";55
2013-06-03;"NW";55
2013-06-04;"NW";55
2013-06-05;"NW";55
2013-06-06;"NW";55
2013-06-07;"NW";55
2013-06-08;"NW";55
2013-06-09;"NW";57
2013-06-10;"NW";57
2013-06-11;"NW";57
2013-06-12;"NW";57
2013-06-13;"NW";57
2013-06-14;"NW";57
2013-06-15;"NW";57
2013-06-16;"NW";69
2013-06-17;"NW";69
2013-06-18;"NW";69
2013-06-19;"NW";69
2013-06-20;"NW";69
2013-06-21;"NW";69
2013-06-22;"NW";69
2013-06-23;"NW";58
2013-06-24;"NW";58
2013-06-25;"NW";58
2013-06-26;"NW";58
2013-06-27;"NW";58
2013-06-28;"NW";58
2013-06-29;"NW";58
2013-06-30;"NW";69
2013-07-01;"NW";69
2013-07-02;"NW";69
2013-07-03;"NW";69
2013-07-04;"NW";69
2013-07-05;"NW";69
2013-07-06;"NW";69
2013-07-07;"NW";59
2013-07-08;"NW";59
2013-07-09;"NW";59
2013-07-10;"NW";59
2013-07-11;"NW";59
2013-07-12;"NW";59
2013-07-13;"NW";59
2013-07-14;"NW";71
2013-07-15;"NW";71
2013-07-16;"NW";71
2013-07-17;"NW";71
2013-07-18;"NW";71
2013-07-19;"NW";71
2013-07-20;"NW";71
2013-07-21;"NW";61
2013-07-22;"NW";61
2013-07-23;"NW";61
2013-07-24;"NW";61
2013-07-25;"NW";61
2013-07-26;"NW";61
2013-07-27;"NW";61
2013-07-28;"NW";76
2013-07-29;"NW";76
2013-07-30;"NW";76
2013-07-31;"NW";76
2013-08-01;"NW";76
2013-08-02;"NW";76
2013-08-03;"NW";76
2013-08-04;"NW";65
2013-08-05;"NW";65
2013-08-06;"NW";65
2013-08-07;"NW";65
2013-08-08;"NW";65
2013-08-09;"NW";65
2013-08-10;"NW";65
2013-08-11;"NW";71
2013-08-12;"NW";71
2013-08-13;"NW";71
2013-08-14;"NW";71
2013-08-15;"NW";71
2013-08-16;"NW";71
2013-08-17;"NW";71
2013-08-18;"NW";63
2013-08-19;"NW";63
2013-08-20;"NW";63
2013-08-21;"NW";63
2013-08-22;"NW";63
2013-08-23;"NW";63
2013-08-24;"NW";63
2013-08-25;"NW";74
2013-08-26;"NW";74
2013-08-27;"NW";74
2013-08-28;"NW";74
2013-08-29;"NW";74
2013-08-30;"NW";74
2013-08-31;"NW";74
2013-09-01;"NW";57
2013-09-02;"NW";57
2013-09-03;"NW";57
2013-09-04;"NW";57
2013-09-05;"NW";57
2013-09-06;"NW";57
2013-09-07;"NW";57
2013-09-08;"NW";63
2013-09-09;"NW";63
2013-09-10;"NW";63
2013-09-11;"NW";63
2013-09-12;"NW";63
2013-09-13;"NW";63
2013-09-14;"NW";63
2013-09-15;"NW";52
2013-09-16;"NW";52
2013-09-17;"NW";52
2013-09-18;"NW";52
2013-09-19;"NW";52
2013-09-20;"NW";52
2013-09-21;"NW";52
2013-09-22;"NW";64
2013-09-23;"NW";64
2013-09-24;"NW";64
2013-09-25;"NW";64
2013-09-26;"NW";64
2013-09-27;"NW";64
2013-09-28;"NW";64
2013-09-29;"NW";54
2013-09-30;"NW";54
2013-10-01;"NW";54
2013-10-02;"NW";54
2013-10-03;"NW";54
2013-10-04;"NW";54
2013-10-05;"NW";54
2013-10-06;"NW";65
2013-10-07;"NW";65
2013-10-08;"NW";65
2013-10-09;"NW";65
2013-10-10;"NW";65
2013-10-11;"NW";65
2013-10-12;"NW";65
2013-10-13;"NW";54
2013-10-14;"NW";54
2013-10-15;"NW";54
2013-10-16;"NW";54
2013-10-17;"NW";54
2013-10-18;"NW";54
2013-10-19;"NW";54
2013-10-20;"NW";68
2013-10-21;"NW";68
2013-10-22;"NW";68
2013-10-23;"NW";68
2013-10-24;"NW";68
2013-10-25;"NW";68
2013-10-26;"NW";68
2013-10-27;"NW";61
2013-10-28;"NW";61
2013-10-29;"NW";61
2013-10-30;"NW";61
2013-10-31;"NW";61
2013-11-01;"NW";61
2013-11-02;"NW";61
2013-11-03;"NW";70
2013-11-04;"NW";70
2013-11-05;"NW";70
2013-11-06;"NW";70
2013-11-07;"NW";70
2013-11-08;"NW";70
2013-11-09;"NW";70
2013-11-10;"NW";55
2013-11-11;"NW";55
2013-11-12;"NW";55
2013-11-13;"NW";55
2013-11-14;"NW";55
2013-11-15;"NW";55
2013-11-16;"NW";55
2013-11-17;"NW";68
2013-11-18;"NW";68
2013-11-19;"NW";68
2013-11-20;"NW";68
2013-11-21;"NW";68
2013-11-22;"NW";68
2013-11-23;"NW";68
2013-11-24;"NW";66
2013-11-25;"NW";66
2013-11-26;"NW";66
2013-11-27;"NW";66
2013-11-28;"NW";66
2013-11-29;"NW";66
2013-11-30;"NW";66
2013-12-01;"NW";75
2013-12-02;"NW";75
2013-12-03;"NW";75
2013-12-04;"NW";75
2013-12-05;"NW";75
2013-12-06;"NW";75
2013-12-07;"NW";75
2013-12-08;"NW";72
2013-12-09;"NW";72
2013-12-10;"NW";72
2013-12-11;"NW";72
2013-12-12;"NW";72
2013-12-13;"NW";72
2013-12-14;"NW";72
2013-12-15;"NW";97
2013-12-16;"NW";97
2013-12-17;"NW";97
2013-12-18;"NW";97
2013-12-19;"NW";97
2013-12-20;"NW";97
2013-12-21;"NW";97
2013-12-22;"NW";66
2013-12-23;"NW";66
2013-12-24;"NW";66
2013-12-25;"NW";66
2013-12-26;"NW";66
2013-12-27;"NW";66
2013-12-28;"NW";66
2013-12-29;"NW";68
2013-12-30;"NW";68
2013-12-31;"NW";68
2014-01-01;"NW";68
2014-01-02;"NW";68
2014-01-03;"NW";68
2014-01-04;"NW";68
2014-01-05;"NW";73
2014-01-06;"NW";73
2014-01-07;"NW";73
2014-01-08;"NW";73
2014-01-09;"NW";73
2014-01-10;"NW";73
2014-01-11;"NW";73
2014-01-12;"NW";53
2014-01-13;"NW";53
2014-01-14;"NW";53
2014-01-15;"NW";53
2014-01-16;"NW";53
2014-01-17;"NW";53
2014-01-18;"NW";53
2014-01-19;"NW";68
2014-01-20;"NW";68
2014-01-21;"NW";68
2014-01-22;"NW";68
2014-01-23;"NW";68
2014-01-24;"NW";68
2014-01-25;"NW";68
2014-01-26;"NW";59
2014-01-27;"NW";59
2014-01-28;"NW";59
2014-01-29;"NW";59
2014-01-30;"NW";59
2014-01-31;"NW";59
2014-02-01;"NW";59
2014-02-02;"NW";73
2014-02-03;"NW";73
2014-02-04;"NW";73
2014-02-05;"NW";73
2014-02-06;"NW";73
2014-02-07;"NW";73
2014-02-08;"NW";73
2014-02-09;"NW";60
2014-02-10;"NW";60
2014-02-11;"NW";60
2014-02-12;"NW";60
2014-02-13;"NW";60
2014-02-14;"NW";60
2014-02-15;"NW";60
2014-02-16;"NW";74
2014-02-17;"NW";74
2014-02-18;"NW";74
2014-02-19;"NW";74
2014-02-20;"NW";74
2014-02-21;"NW";74
2014-02-22;"NW";74
2014-02-23;"NW";57
2014-02-24;"NW";57
2014-02-25;"NW";57
2014-02-26;"NW";57
2014-02-27;"NW";57
2014-02-28;"NW";57
2014-03-01;"NW";57
2014-03-02;"NW";75
2014-03-03;"NW";75
2014-03-04;"NW";75
2014-03-05;"NW";75
2014-03-06;"NW";75
2014-03-07;"NW";75
2014-03-08;"NW";75
2014-03-09;"NW";60
2014-03-10;"NW";60
2014-03-11;"NW";60
2014-03-12;"NW";60
2014-03-13;"NW";60
2014-03-14;"NW";60
2014-03-15;"NW";60
2014-03-16;"NW";68
2014-03-17;"NW";68
2014-03-18;"NW";68
2014-03-19;"NW";68
2014-03-20;"NW";68
2014-03-21;"NW";68
2014-03-22;"NW";68
2014-03-23;"NW";60
2014-03-24;"NW";60
2014-03-25;"NW";60
2014-03-26;"NW";60
2014-03-27;"NW";60
2014-03-28;"NW";60
2014-03-29;"NW";60
2014-03-30;"NW";68
2014-03-31;"NW";68
2014-04-01;"NW";68
2014-04-02;"NW";68
2014-04-03;"NW";68
2014-04-04;"NW";68
2014-04-05;"NW";68
2014-04-06;"NW";59
2014-04-07;"NW";59
2014-04-08;"NW";59
2014-04-09;"NW";59
2014-04-10;"NW";59
2014-04-11;"NW";59
2014-04-12;"NW";59
2014-04-13;"NW";77
2014-04-14;"NW";77
2014-04-15;"NW";77
2014-04-16;"NW";77
2014-04-17;"NW";77
2014-04-18;"NW";77
2014-04-19;"NW";77
2014-04-20;"NW";59
2014-04-21;"NW";59
2014-04-22;"NW";59
2014-04-23;"NW";59
2014-04-24;"NW";59
2014-04-25;"NW";59
2014-04-26;"NW";59
2014-04-27;"NW";77
2014-04-28;"NW";77
2014-04-29;"NW";77
2014-04-30;"NW";77
2014-05-01;"NW";77
2014-05-02;"NW";77
2014-05-03;"NW";77
2014-05-04;"NW";74
2014-05-05;"NW";74
2014-05-06;"NW";74
2014-05-07;"NW";74
2014-05-08;"NW";74
2014-05-09;"NW";74
2014-05-10;"NW";74
2014-05-11;"NW";62
2014-05-12;"NW";62
2014-05-13;"NW";62
2014-05-14;"NW";62
2014-05-15;"NW";62
2014-05-16;"NW";62
2014-05-17;"NW";62
2014-05-18;"NW";75
2014-05-19;"NW";75
2014-05-20;"NW";75
2014-05-21;"NW";75
2014-05-22;"NW";75
2014-05-23;"NW";75
2014-05-24;"NW";75
2014-05-25;"NW";63
2014-05-26;"NW";63
2014-05-27;"NW";63
2014-05-28;"NW";63
2014-05-29;"NW";63
2014-05-30;"NW";63
2014-05-31;"NW";63
2014-06-01;"NW";74
2014-06-02;"NW";74
2014-06-03;"NW";74
2014-06-04;"NW";74
2014-06-05;"NW";74
2014-06-06;"NW";74
2014-06-07;"NW";74
2014-06-08;"NW";63
2014-06-09;"NW";63
2014-06-10;"NW";63
2014-06-11;"NW";63
2014-06-12;"NW";63
2014-06-13;"NW";63
2014-06-14;"NW";63
2014-06-15;"NW";75
2014-06-16;"NW";75
2014-06-17;"NW";75
2014-06-18;"NW";75
2014-06-19;"NW";75
2014-06-20;"NW";75
2014-06-21;"NW";75
2014-06-22;"NW";67
2014-06-23;"NW";67
2014-06-24;"NW";67
2014-06-25;"NW";67
2014-06-26;"NW";67
2014-06-27;"NW";67
2014-06-28;"NW";67
2014-06-29;"NW";82
2014-06-30;"NW";82
2014-07-01;"NW";82
2014-07-02;"NW";82
2014-07-03;"NW";82
2014-07-04;"NW";82
2014-07-05;"NW";82
2014-07-06;"NW";71
2014-07-07;"NW";71
2014-07-08;"NW";71
2014-07-09;"NW";71
2014-07-10;"NW";71
2014-07-11;"NW";71
2014-07-12;"NW";71
2014-07-13;"NW";81
2014-07-14;"NW";81
2014-07-15;"NW";81
2014-07-16;"NW";81
2014-07-17;"NW";81
2014-07-18;"NW";81
2014-07-19;"NW";81
2014-07-20;"NW";75
2014-07-21;"NW";75
2014-07-22;"NW";75
2014-07-23;"NW";75
2014-07-24;"NW";75
2014-07-25;"NW";75
2014-07-26;"NW";75
2014-07-27;"NW";83
2014-07-28;"NW";83
2014-07-29;"NW";83
2014-07-30;"NW";83
2014-07-31;"NW";83
2014-08-01;"NW";83
2014-08-02;"NW";83
2014-08-03;"NW";82
2014-08-04;"NW";82
2014-08-05;"NW";82
2014-08-06;"NW";82
2014-08-07;"NW";82
2014-08-08;"NW";82
2014-08-09;"NW";82
2014-08-10;"NW";73
2014-08-11;"NW";73
2014-08-12;"NW";73
2014-08-13;"NW";73
2014-08-14;"NW";73
2014-08-15;"NW";73
2014-08-16;"NW";73
2014-08-17;"NW";85
2014-08-18;"NW";85
2014-08-19;"NW";85
2014-08-20;"NW";85
2014-08-21;"NW";85
2014-08-22;"NW";85
2014-08-23;"NW";85
2014-08-24;"NW";63
2014-08-25;"NW";63
2014-08-26;"NW";63
2014-08-27;"NW";63
2014-08-28;"NW";63
2014-08-29;"NW";63
2014-08-30;"NW";63
2014-08-31;"NW";76
2014-09-01;"NW";76
2014-09-02;"NW";76
2014-09-03;"NW";76
2014-09-04;"NW";76
2014-09-05;"NW";76
2014-09-06;"NW";76
2014-09-07;"NW";65
2014-09-08;"NW";65
2014-09-09;"NW";65
2014-09-10;"NW";65
2014-09-11;"NW";65
2014-09-12;"NW";65
2014-09-13;"NW";65
2014-09-14;"NW";76
2014-09-15;"NW";76
2014-09-16;"NW";76
2014-09-17;"NW";76
2014-09-18;"NW";76
2014-09-19;"NW";76
2014-09-20;"NW";76
2014-09-21;"NW";57
2014-09-22;"NW";57
2014-09-23;"NW";57
2014-09-24;"NW";57
2014-09-25;"NW";57
2014-09-26;"NW";57
2014-09-27;"NW";57
2014-09-28;"NW";73
2014-09-29;"NW";73
2014-09-30;"NW";73
2014-10-01;"NW";73
2014-10-02;"NW";73
2014-10-03;"NW";73
2014-10-04;"NW";73
2014-10-05;"NW";77
2014-10-06;"NW";77
2014-10-07;"NW";77
2014-10-08;"NW";77
2014-10-09;"NW";77
2014-10-10;"NW";77
2014-10-11;"NW";77
2014-10-12;"NW";66
2014-10-13;"NW";66
2014-10-14;"NW";66
2014-10-15;"NW";66
2014-10-16;"NW";66
2014-10-17;"NW";66
2014-10-18;"NW";66
2014-10-19;"NW";78
2014-10-20;"NW";78
2014-10-21;"NW";78
2014-10-22;"NW";78
2014-10-23;"NW";78
2014-10-24;"NW";78
2014-10-25;"NW";78
2014-10-26;"NW";66
2014-10-27;"NW";66
2014-10-28;"NW";66
2014-10-29;"NW";66
2014-10-30;"NW";66
2014-10-31;"NW";66
2014-11-01;"NW";66
2014-11-02;"NW";78
2014-11-03;"NW";78
2014-11-04;"NW";78
2014-11-05;"NW";78
2014-11-06;"NW";78
2014-11-07;"NW";78
2014-11-08;"NW";78
2014-11-09;"NW";74
2014-11-10;"NW";74
2014-11-11;"NW";74
2014-11-12;"NW";74
2014-11-13;"NW";74
2014-11-14;"NW";74
2014-11-15;"NW";74
2014-11-16;"NW";71
2014-11-17;"NW";71
2014-11-18;"NW";71
2014-11-19;"NW";71
2014-11-20;"NW";71
2014-11-21;"NW";71
2014-11-22;"NW";71
2014-11-23;"NW";86
2014-11-24;"NW";86
2014-11-25;"NW";86
2014-11-26;"NW";86
2014-11-27;"NW";86
2014-11-28;"NW";86
2014-11-29;"NW";86
2014-11-30;"NW";88
2014-12-01;"NW";88
2014-12-02;"NW";88
2014-12-03;"NW";88
2014-12-04;"NW";88
2014-12-05;"NW";88
2014-12-06;"NW";88
2014-12-07;"NW";88
2014-12-08;"NW";88
2014-12-09;"NW";88
2014-12-10;"NW";88
2014-12-11;"NW";88
2014-12-12;"NW";88
2014-12-13;"NW";88
2014-12-14;"NW";98
2014-12-15;"NW";98
2014-12-16;"NW";98
2014-12-17;"NW";98
2014-12-18;"NW";98
2014-12-19;"NW";98
2014-12-20;"NW";98
2014-12-21;"NW";83
2014-12-22;"NW";83
2014-12-23;"NW";83
2014-12-24;"NW";83
2014-12-25;"NW";83
2014-12-26;"NW";83
2014-12-27;"NW";83
2014-12-28;"NW";77
2014-12-29;"NW";77
2014-12-30;"NW";77
2014-12-31;"NW";77
2015-01-01;"NW";77
2015-01-02;"NW";77
2015-01-03;"NW";77
2015-01-04;"NW";76
2015-01-05;"NW";76
2015-01-06;"NW";76
2015-01-07;"NW";76
2015-01-08;"NW";76
2015-01-09;"NW";76
2015-01-10;"NW";76
2015-01-11;"NW";75
2015-01-12;"NW";75
2015-01-13;"NW";75
2015-01-14;"NW";75
2015-01-15;"NW";75
2015-01-16;"NW";75
2015-01-17;"NW";75
2015-01-18;"NW";65
2015-01-19;"NW";65
2015-01-20;"NW";65
2015-01-21;"NW";65
2015-01-22;"NW";65
2015-01-23;"NW";65
2015-01-24;"NW";65
2015-01-25;"NW";86
2015-01-26;"NW";86
2015-01-27;"NW";86
2015-01-28;"NW";86
2015-01-29;"NW";86
2015-01-30;"NW";86
2015-01-31;"NW";86
2015-02-01;"NW";74
2015-02-02;"NW";74
2015-02-03;"NW";74
2015-02-04;"NW";74
2015-02-05;"NW";74
2015-02-06;"NW";74
2015-02-07;"NW";74
2015-02-08;"NW";71
2015-02-09;"NW";71
2015-02-10;"NW";71
2015-02-11;"NW";71
2015-02-12;"NW";71
2015-02-13;"NW";71
2015-02-14;"NW";71
2015-02-15;"NW";77
2015-02-16;"NW";77
2015-02-17;"NW";77
2015-02-18;"NW";77
2015-02-19;"NW";77
2015-02-20;"NW";77
2015-02-21;"NW";77
2015-02-22;"NW";69
2015-02-23;"NW";69
2015-02-24;"NW";69
2015-02-25;"NW";69
2015-02-26;"NW";69
2015-02-27;"NW";69
2015-02-28;"NW";69
2015-03-01;"NW";74
2015-03-02;"NW";74
2015-03-03;"NW";74
2015-03-04;"NW";74
2015-03-05;"NW";74
2015-03-06;"NW";74
2015-03-07;"NW";74
2015-03-08;"NW";65
2015-03-09;"NW";65
2015-03-10;"NW";65
2015-03-11;"NW";65
2015-03-12;"NW";65
2015-03-13;"NW";65
2015-03-14;"NW";65
2015-03-15;"NW";78
2015-03-16;"NW";78
2015-03-17;"NW";78
2015-03-18;"NW";78
2015-03-19;"NW";78
2015-03-20;"NW";78
2015-03-21;"NW";78
2015-03-22;"NW";67
2015-03-23;"NW";67
2015-03-24;"NW";67
2015-03-25;"NW";67
2015-03-26;"NW";67
2015-03-27;"NW";67
2015-03-28;"NW";67
2015-03-29;"NW";79
2015-03-30;"NW";79
2015-03-31;"NW";79
2015-04-01;"NW";79
2015-04-02;"NW";79
2015-04-03;"NW";79
2015-04-04;"NW";79
2015-04-05;"NW";68
2015-04-06;"NW";68
2015-04-07;"NW";68
2015-04-08;"NW";68
2015-04-09;"NW";68
2015-04-10;"NW";68
2015-04-11;"NW";68
2015-04-12;"NW";77
2015-04-13;"NW";77
2015-04-14;"NW";77
2015-04-15;"NW";77
2015-04-16;"NW";77
2015-04-17;"NW";77
2015-04-18;"NW";77
2015-04-19;"NW";67
2015-04-20;"NW";67
2015-04-21;"NW";67
2015-04-22;"NW";67
2015-04-23;"NW";67
2015-04-24;"NW";67
2015-04-25;"NW";67
2015-04-26;"NW";80
2015-04-27;"NW";80
2015-04-28;"NW";80
2015-04-29;"NW";80
2015-04-30;"NW";80
2015-05-01;"NW";80
2015-05-02;"NW";80
2015-05-03;"NW";82
2015-05-04;"NW";82
2015-05-05;"NW";82
2015-05-06;"NW";82
2015-05-07;"NW";82
2015-05-08;"NW";82
2015-05-09;"NW";82
2015-05-10;"NW";73
2015-05-11;"NW";73
2015-05-12;"NW";73
2015-05-13;"NW";73
2015-05-14;"NW";73
2015-05-15;"NW";73
2015-05-16;"NW";73
2015-05-17;"NW";80
2015-05-18;"NW";80
2015-05-19;"NW";80
2015-05-20;"NW";80
2015-05-21;"NW";80
2015-05-22;"NW";80
2015-05-23;"NW";80
2015-05-24;"NW";78
2015-05-25;"NW";78
2015-05-26;"NW";78
2015-05-27;"NW";78
2015-05-28;"NW";78
2015-05-29;"NW";78
2015-05-30;"NW";78
2015-05-31;"NW";82
2015-06-01;"NW";82
2015-06-02;"NW";82
2015-06-03;"NW";82
2015-06-04;"NW";82
2015-06-05;"NW";82
2015-06-06;"NW";82
2015-06-07;"NW";76
2015-06-08;"NW";76
2015-06-09;"NW";76
2015-06-10;"NW";76
2015-06-11;"NW";76
2015-06-12;"NW";76
2015-06-13;"NW";76
2015-06-14;"NW";88
2015-06-15;"NW";88
2015-06-16;"NW";88
2015-06-17;"NW";88
2015-06-18;"NW";88
2015-06-19;"NW";88
2015-06-20;"NW";88
2015-06-21;"NW";76
2015-06-22;"NW";76
2015-06-23;"NW";76
2015-06-24;"NW";76
2015-06-25;"NW";76
2015-06-26;"NW";76
2015-06-27;"NW";76
2015-06-28;"NW";100
2015-06-29;"NW";100
2015-06-30;"NW";100
2015-07-01;"NW";100
2015-07-02;"NW";100
2015-07-03;"NW";100
2015-07-04;"NW";100
2015-07-05;"NW";82
2015-07-06;"NW";82
2015-07-07;"NW";82
2015-07-08;"NW";82
2015-07-09;"NW";82
2015-07-10;"NW";82
2015-07-11;"NW";82
2015-07-12;"NW";88
2015-07-13;"NW";88
2015-07-14;"NW";88
2015-07-15;"NW";88
2015-07-16;"NW";88
2015-07-17;"NW";88
2015-07-18;"NW";88
2015-07-19;"NW";76
2015-07-20;"NW";76
2015-07-21;"NW";76
2015-07-22;"NW";76
2015-07-23;"NW";76
2015-07-24;"NW";76
2015-07-25;"NW";76
2015-07-26;"NW";92
2015-07-27;"NW";92
