"Date";"State";"Goog_trend"
2013-01-01;"RP";36
2013-01-02;"RP";36
2013-01-03;"RP";36
2013-01-04;"RP";36
2013-01-05;"RP";36
2013-01-06;"RP";36
2013-01-07;"RP";36
2013-01-08;"RP";36
2013-01-09;"RP";36
2013-01-10;"RP";36
2013-01-11;"RP";36
2013-01-12;"RP";36
2013-01-13;"RP";39
2013-01-14;"RP";39
2013-01-15;"RP";39
2013-01-16;"RP";39
2013-01-17;"RP";39
2013-01-18;"RP";39
2013-01-19;"RP";39
2013-01-20;"RP";41
2013-01-21;"RP";41
2013-01-22;"RP";41
2013-01-23;"RP";41
2013-01-24;"RP";41
2013-01-25;"RP";41
2013-01-26;"RP";41
2013-01-27;"RP";38
2013-01-28;"RP";38
2013-01-29;"RP";38
2013-01-30;"RP";38
2013-01-31;"RP";38
2013-02-01;"RP";38
2013-02-02;"RP";38
2013-02-03;"RP";36
2013-02-04;"RP";36
2013-02-05;"RP";36
2013-02-06;"RP";36
2013-02-07;"RP";36
2013-02-08;"RP";36
2013-02-09;"RP";36
2013-02-10;"RP";43
2013-02-11;"RP";43
2013-02-12;"RP";43
2013-02-13;"RP";43
2013-02-14;"RP";43
2013-02-15;"RP";43
2013-02-16;"RP";43
2013-02-17;"RP";47
2013-02-18;"RP";47
2013-02-19;"RP";47
2013-02-20;"RP";47
2013-02-21;"RP";47
2013-02-22;"RP";47
2013-02-23;"RP";47
2013-02-24;"RP";40
2013-02-25;"RP";40
2013-02-26;"RP";40
2013-02-27;"RP";40
2013-02-28;"RP";40
2013-03-01;"RP";40
2013-03-02;"RP";40
2013-03-03;"RP";45
2013-03-04;"RP";45
2013-03-05;"RP";45
2013-03-06;"RP";45
2013-03-07;"RP";45
2013-03-08;"RP";45
2013-03-09;"RP";45
2013-03-10;"RP";37
2013-03-11;"RP";37
2013-03-12;"RP";37
2013-03-13;"RP";37
2013-03-14;"RP";37
2013-03-15;"RP";37
2013-03-16;"RP";37
2013-03-17;"RP";54
2013-03-18;"RP";54
2013-03-19;"RP";54
2013-03-20;"RP";54
2013-03-21;"RP";54
2013-03-22;"RP";54
2013-03-23;"RP";54
2013-03-24;"RP";53
2013-03-25;"RP";53
2013-03-26;"RP";53
2013-03-27;"RP";53
2013-03-28;"RP";53
2013-03-29;"RP";53
2013-03-30;"RP";53
2013-03-31;"RP";45
2013-04-01;"RP";45
2013-04-02;"RP";45
2013-04-03;"RP";45
2013-04-04;"RP";45
2013-04-05;"RP";45
2013-04-06;"RP";45
2013-04-07;"RP";43
2013-04-08;"RP";43
2013-04-09;"RP";43
2013-04-10;"RP";43
2013-04-11;"RP";43
2013-04-12;"RP";43
2013-04-13;"RP";43
2013-04-14;"RP";42
2013-04-15;"RP";42
2013-04-16;"RP";42
2013-04-17;"RP";42
2013-04-18;"RP";42
2013-04-19;"RP";42
2013-04-20;"RP";42
2013-04-21;"RP";44
2013-04-22;"RP";44
2013-04-23;"RP";44
2013-04-24;"RP";44
2013-04-25;"RP";44
2013-04-26;"RP";44
2013-04-27;"RP";44
2013-04-28;"RP";39
2013-04-29;"RP";39
2013-04-30;"RP";39
2013-05-01;"RP";39
2013-05-02;"RP";39
2013-05-03;"RP";39
2013-05-04;"RP";39
2013-05-05;"RP";42
2013-05-06;"RP";42
2013-05-07;"RP";42
2013-05-08;"RP";42
2013-05-09;"RP";42
2013-05-10;"RP";42
2013-05-11;"RP";42
2013-05-12;"RP";44
2013-05-13;"RP";44
2013-05-14;"RP";44
2013-05-15;"RP";44
2013-05-16;"RP";44
2013-05-17;"RP";44
2013-05-18;"RP";44
2013-05-19;"RP";38
2013-05-20;"RP";38
2013-05-21;"RP";38
2013-05-22;"RP";38
2013-05-23;"RP";38
2013-05-24;"RP";38
2013-05-25;"RP";38
2013-05-26;"RP";45
2013-05-27;"RP";45
2013-05-28;"RP";45
2013-05-29;"RP";45
2013-05-30;"RP";45
2013-05-31;"RP";45
2013-06-01;"RP";45
2013-06-02;"RP";40
2013-06-03;"RP";40
2013-06-04;"RP";40
2013-06-05;"RP";40
2013-06-06;"RP";40
2013-06-07;"RP";40
2013-06-08;"RP";40
2013-06-09;"RP";41
2013-06-10;"RP";41
2013-06-11;"RP";41
2013-06-12;"RP";41
2013-06-13;"RP";41
2013-06-14;"RP";41
2013-06-15;"RP";41
2013-06-16;"RP";49
2013-06-17;"RP";49
2013-06-18;"RP";49
2013-06-19;"RP";49
2013-06-20;"RP";49
2013-06-21;"RP";49
2013-06-22;"RP";49
2013-06-23;"RP";45
2013-06-24;"RP";45
2013-06-25;"RP";45
2013-06-26;"RP";45
2013-06-27;"RP";45
2013-06-28;"RP";45
2013-06-29;"RP";45
2013-06-30;"RP";55
2013-07-01;"RP";55
2013-07-02;"RP";55
2013-07-03;"RP";55
2013-07-04;"RP";55
2013-07-05;"RP";55
2013-07-06;"RP";55
2013-07-07;"RP";47
2013-07-08;"RP";47
2013-07-09;"RP";47
2013-07-10;"RP";47
2013-07-11;"RP";47
2013-07-12;"RP";47
2013-07-13;"RP";47
2013-07-14;"RP";52
2013-07-15;"RP";52
2013-07-16;"RP";52
2013-07-17;"RP";52
2013-07-18;"RP";52
2013-07-19;"RP";52
2013-07-20;"RP";52
2013-07-21;"RP";45
2013-07-22;"RP";45
2013-07-23;"RP";45
2013-07-24;"RP";45
2013-07-25;"RP";45
2013-07-26;"RP";45
2013-07-27;"RP";45
2013-07-28;"RP";36
2013-07-29;"RP";36
2013-07-30;"RP";36
2013-07-31;"RP";36
2013-08-01;"RP";36
2013-08-02;"RP";36
2013-08-03;"RP";36
2013-08-04;"RP";36
2013-08-05;"RP";36
2013-08-06;"RP";36
2013-08-07;"RP";36
2013-08-08;"RP";36
2013-08-09;"RP";36
2013-08-10;"RP";36
2013-08-11;"RP";41
2013-08-12;"RP";41
2013-08-13;"RP";41
2013-08-14;"RP";41
2013-08-15;"RP";41
2013-08-16;"RP";41
2013-08-17;"RP";41
2013-08-18;"RP";46
2013-08-19;"RP";46
2013-08-20;"RP";46
2013-08-21;"RP";46
2013-08-22;"RP";46
2013-08-23;"RP";46
2013-08-24;"RP";46
2013-08-25;"RP";51
2013-08-26;"RP";51
2013-08-27;"RP";51
2013-08-28;"RP";51
2013-08-29;"RP";51
2013-08-30;"RP";51
2013-08-31;"RP";51
2013-09-01;"RP";39
2013-09-02;"RP";39
2013-09-03;"RP";39
2013-09-04;"RP";39
2013-09-05;"RP";39
2013-09-06;"RP";39
2013-09-07;"RP";39
2013-09-08;"RP";39
2013-09-09;"RP";39
2013-09-10;"RP";39
2013-09-11;"RP";39
2013-09-12;"RP";39
2013-09-13;"RP";39
2013-09-14;"RP";39
2013-09-15;"RP";38
2013-09-16;"RP";38
2013-09-17;"RP";38
2013-09-18;"RP";38
2013-09-19;"RP";38
2013-09-20;"RP";38
2013-09-21;"RP";38
2013-09-22;"RP";44
2013-09-23;"RP";44
2013-09-24;"RP";44
2013-09-25;"RP";44
2013-09-26;"RP";44
2013-09-27;"RP";44
2013-09-28;"RP";44
2013-09-29;"RP";36
2013-09-30;"RP";36
2013-10-01;"RP";36
2013-10-02;"RP";36
2013-10-03;"RP";36
2013-10-04;"RP";36
2013-10-05;"RP";36
2013-10-06;"RP";44
2013-10-07;"RP";44
2013-10-08;"RP";44
2013-10-09;"RP";44
2013-10-10;"RP";44
2013-10-11;"RP";44
2013-10-12;"RP";44
2013-10-13;"RP";47
2013-10-14;"RP";47
2013-10-15;"RP";47
2013-10-16;"RP";47
2013-10-17;"RP";47
2013-10-18;"RP";47
2013-10-19;"RP";47
2013-10-20;"RP";34
2013-10-21;"RP";34
2013-10-22;"RP";34
2013-10-23;"RP";34
2013-10-24;"RP";34
2013-10-25;"RP";34
2013-10-26;"RP";34
2013-10-27;"RP";35
2013-10-28;"RP";35
2013-10-29;"RP";35
2013-10-30;"RP";35
2013-10-31;"RP";35
2013-11-01;"RP";35
2013-11-02;"RP";35
2013-11-03;"RP";44
2013-11-04;"RP";44
2013-11-05;"RP";44
2013-11-06;"RP";44
2013-11-07;"RP";44
2013-11-08;"RP";44
2013-11-09;"RP";44
2013-11-10;"RP";49
2013-11-11;"RP";49
2013-11-12;"RP";49
2013-11-13;"RP";49
2013-11-14;"RP";49
2013-11-15;"RP";49
2013-11-16;"RP";49
2013-11-17;"RP";47
2013-11-18;"RP";47
2013-11-19;"RP";47
2013-11-20;"RP";47
2013-11-21;"RP";47
2013-11-22;"RP";47
2013-11-23;"RP";47
2013-11-24;"RP";45
2013-11-25;"RP";45
2013-11-26;"RP";45
2013-11-27;"RP";45
2013-11-28;"RP";45
2013-11-29;"RP";45
2013-11-30;"RP";45
2013-12-01;"RP";55
2013-12-02;"RP";55
2013-12-03;"RP";55
2013-12-04;"RP";55
2013-12-05;"RP";55
2013-12-06;"RP";55
2013-12-07;"RP";55
2013-12-08;"RP";49
2013-12-09;"RP";49
2013-12-10;"RP";49
2013-12-11;"RP";49
2013-12-12;"RP";49
2013-12-13;"RP";49
2013-12-14;"RP";49
2013-12-15;"RP";58
2013-12-16;"RP";58
2013-12-17;"RP";58
2013-12-18;"RP";58
2013-12-19;"RP";58
2013-12-20;"RP";58
2013-12-21;"RP";58
2013-12-22;"RP";50
2013-12-23;"RP";50
2013-12-24;"RP";50
2013-12-25;"RP";50
2013-12-26;"RP";50
2013-12-27;"RP";50
2013-12-28;"RP";50
2013-12-29;"RP";43
2013-12-30;"RP";43
2013-12-31;"RP";43
2014-01-01;"RP";43
2014-01-02;"RP";43
2014-01-03;"RP";43
2014-01-04;"RP";43
2014-01-05;"RP";51
2014-01-06;"RP";51
2014-01-07;"RP";51
2014-01-08;"RP";51
2014-01-09;"RP";51
2014-01-10;"RP";51
2014-01-11;"RP";51
2014-01-12;"RP";35
2014-01-13;"RP";35
2014-01-14;"RP";35
2014-01-15;"RP";35
2014-01-16;"RP";35
2014-01-17;"RP";35
2014-01-18;"RP";35
2014-01-19;"RP";55
