"Date";"State";"Goog_trend"
2013-01-01;"SL";47
2013-01-02;"SL";47
2013-01-03;"SL";47
2013-01-04;"SL";47
2013-01-05;"SL";47
2013-01-06;"SL";47
2013-01-07;"SL";47
2013-01-08;"SL";47
2013-01-09;"SL";47
2013-01-10;"SL";47
2013-01-11;"SL";47
2013-01-12;"SL";47
2013-01-13;"SL";39
2013-01-14;"SL";39
2013-01-15;"SL";39
2013-01-16;"SL";39
2013-01-17;"SL";39
2013-01-18;"SL";39
2013-01-19;"SL";39
2013-01-20;"SL";39
2013-01-21;"SL";39
2013-01-22;"SL";39
2013-01-23;"SL";39
2013-01-24;"SL";39
2013-01-25;"SL";39
2013-01-26;"SL";39
2013-01-27;"SL";40
2013-01-28;"SL";40
2013-01-29;"SL";40
2013-01-30;"SL";40
2013-01-31;"SL";40
2013-02-01;"SL";40
2013-02-02;"SL";40
2013-02-03;"SL";44
2013-02-04;"SL";44
2013-02-05;"SL";44
2013-02-06;"SL";44
2013-02-07;"SL";44
2013-02-08;"SL";44
2013-02-09;"SL";44
2013-02-10;"SL";35
2013-02-11;"SL";35
2013-02-12;"SL";35
2013-02-13;"SL";35
2013-02-14;"SL";35
2013-02-15;"SL";35
2013-02-16;"SL";35
2013-02-17;"SL";38
2013-02-18;"SL";38
2013-02-19;"SL";38
2013-02-20;"SL";38
2013-02-21;"SL";38
2013-02-22;"SL";38
2013-02-23;"SL";38
2013-02-24;"SL";34
2013-02-25;"SL";34
2013-02-26;"SL";34
2013-02-27;"SL";34
2013-02-28;"SL";34
2013-03-01;"SL";34
2013-03-02;"SL";34
2013-03-03;"SL";40
2013-03-04;"SL";40
2013-03-05;"SL";40
2013-03-06;"SL";40
2013-03-07;"SL";40
2013-03-08;"SL";40
2013-03-09;"SL";40
2013-03-10;"SL";36
2013-03-11;"SL";36
2013-03-12;"SL";36
2013-03-13;"SL";36
2013-03-14;"SL";36
2013-03-15;"SL";36
2013-03-16;"SL";36
2013-03-17;"SL";44
2013-03-18;"SL";44
2013-03-19;"SL";44
2013-03-20;"SL";44
2013-03-21;"SL";44
2013-03-22;"SL";44
2013-03-23;"SL";44
2013-03-24;"SL";50
2013-03-25;"SL";50
2013-03-26;"SL";50
2013-03-27;"SL";50
2013-03-28;"SL";50
2013-03-29;"SL";50
2013-03-30;"SL";50
2013-03-31;"SL";55
2013-04-01;"SL";55
2013-04-02;"SL";55
2013-04-03;"SL";55
2013-04-04;"SL";55
2013-04-05;"SL";55
2013-04-06;"SL";55
2013-04-07;"SL";67
2013-04-08;"SL";67
2013-04-09;"SL";67
2013-04-10;"SL";67
2013-04-11;"SL";67
2013-04-12;"SL";67
2013-04-13;"SL";67
2013-04-14;"SL";54
2013-04-15;"SL";54
2013-04-16;"SL";54
2013-04-17;"SL";54
2013-04-18;"SL";54
2013-04-19;"SL";54
2013-04-20;"SL";54
2013-04-21;"SL";54
2013-04-22;"SL";54
2013-04-23;"SL";54
2013-04-24;"SL";54
2013-04-25;"SL";54
2013-04-26;"SL";54
2013-04-27;"SL";54
2013-04-28;"SL";49
2013-04-29;"SL";49
2013-04-30;"SL";49
2013-05-01;"SL";49
2013-05-02;"SL";49
2013-05-03;"SL";49
2013-05-04;"SL";49
2013-05-05;"SL";49
2013-05-06;"SL";49
2013-05-07;"SL";49
2013-05-08;"SL";49
2013-05-09;"SL";49
2013-05-10;"SL";49
2013-05-11;"SL";49
2013-05-12;"SL";49
2013-05-13;"SL";49
2013-05-14;"SL";49
2013-05-15;"SL";49
2013-05-16;"SL";49
2013-05-17;"SL";49
2013-05-18;"SL";49
2013-05-19;"SL";44
2013-05-20;"SL";44
2013-05-21;"SL";44
2013-05-22;"SL";44
2013-05-23;"SL";44
2013-05-24;"SL";44
2013-05-25;"SL";44
2013-05-26;"SL";43
2013-05-27;"SL";43
2013-05-28;"SL";43
2013-05-29;"SL";43
2013-05-30;"SL";43
2013-05-31;"SL";43
2013-06-01;"SL";43
2013-06-02;"SL";47
2013-06-03;"SL";47
2013-06-04;"SL";47
2013-06-05;"SL";47
2013-06-06;"SL";47
2013-06-07;"SL";47
2013-06-08;"SL";47
2013-06-09;"SL";67
2013-06-10;"SL";67
2013-06-11;"SL";67
2013-06-12;"SL";67
2013-06-13;"SL";67
2013-06-14;"SL";67
2013-06-15;"SL";67
2013-06-16;"SL";69
2013-06-17;"SL";69
2013-06-18;"SL";69
2013-06-19;"SL";69
2013-06-20;"SL";69
2013-06-21;"SL";69
2013-06-22;"SL";69
2013-06-23;"SL";61
2013-06-24;"SL";61
2013-06-25;"SL";61
2013-06-26;"SL";61
2013-06-27;"SL";61
2013-06-28;"SL";61
2013-06-29;"SL";61
2013-06-30;"SL";49
2013-07-01;"SL";49
2013-07-02;"SL";49
2013-07-03;"SL";49
2013-07-04;"SL";49
2013-07-05;"SL";49
2013-07-06;"SL";49
2013-07-07;"SL";55
2013-07-08;"SL";55
2013-07-09;"SL";55
2013-07-10;"SL";55
2013-07-11;"SL";55
2013-07-12;"SL";55
2013-07-13;"SL";55
2013-07-14;"SL";62
2013-07-15;"SL";62
2013-07-16;"SL";62
2013-07-17;"SL";62
2013-07-18;"SL";62
2013-07-19;"SL";62
2013-07-20;"SL";62
2013-07-21;"SL";67
2013-07-22;"SL";67
2013-07-23;"SL";67
2013-07-24;"SL";67
2013-07-25;"SL";67
2013-07-26;"SL";67
2013-07-27;"SL";67
2013-07-28;"SL";73
2013-07-29;"SL";73
2013-07-30;"SL";73
2013-07-31;"SL";73
2013-08-01;"SL";73
2013-08-02;"SL";73
2013-08-03;"SL";73
2013-08-04;"SL";66
2013-08-05;"SL";66
2013-08-06;"SL";66
2013-08-07;"SL";66
2013-08-08;"SL";66
2013-08-09;"SL";66
2013-08-10;"SL";66
2013-08-11;"SL";49
2013-08-12;"SL";49
2013-08-13;"SL";49
2013-08-14;"SL";49
2013-08-15;"SL";49
2013-08-16;"SL";49
2013-08-17;"SL";49
2013-08-18;"SL";49
2013-08-19;"SL";49
2013-08-20;"SL";49
2013-08-21;"SL";49
