"Date";"State";"Goog_trend"
2013-01-01;"SN";67
2013-01-02;"SN";67
2013-01-03;"SN";67
2013-01-04;"SN";67
2013-01-05;"SN";67
2013-01-06;"SN";71
2013-01-07;"SN";71
2013-01-08;"SN";71
2013-01-09;"SN";71
2013-01-10;"SN";71
2013-01-11;"SN";71
2013-01-12;"SN";71
2013-01-13;"SN";53
2013-01-14;"SN";53
2013-01-15;"SN";53
2013-01-16;"SN";53
2013-01-17;"SN";53
2013-01-18;"SN";53
2013-01-19;"SN";53
2013-01-20;"SN";58
2013-01-21;"SN";58
2013-01-22;"SN";58
2013-01-23;"SN";58
2013-01-24;"SN";58
2013-01-25;"SN";58
2013-01-26;"SN";58
2013-01-27;"SN";55
2013-01-28;"SN";55
2013-01-29;"SN";55
2013-01-30;"SN";55
2013-01-31;"SN";55
2013-02-01;"SN";55
2013-02-02;"SN";55
2013-02-03;"SN";55
2013-02-04;"SN";55
2013-02-05;"SN";55
2013-02-06;"SN";55
2013-02-07;"SN";55
2013-02-08;"SN";55
2013-02-09;"SN";55
2013-02-10;"SN";58
2013-02-11;"SN";58
2013-02-12;"SN";58
2013-02-13;"SN";58
2013-02-14;"SN";58
2013-02-15;"SN";58
2013-02-16;"SN";58
2013-02-17;"SN";65
2013-02-18;"SN";65
2013-02-19;"SN";65
2013-02-20;"SN";65
2013-02-21;"SN";65
2013-02-22;"SN";65
2013-02-23;"SN";65
2013-02-24;"SN";48
2013-02-25;"SN";48
2013-02-26;"SN";48
2013-02-27;"SN";48
2013-02-28;"SN";48
2013-03-01;"SN";48
2013-03-02;"SN";48
2013-03-03;"SN";51
2013-03-04;"SN";51
2013-03-05;"SN";51
2013-03-06;"SN";51
2013-03-07;"SN";51
2013-03-08;"SN";51
2013-03-09;"SN";51
2013-03-10;"SN";50
2013-03-11;"SN";50
2013-03-12;"SN";50
2013-03-13;"SN";50
2013-03-14;"SN";50
2013-03-15;"SN";50
2013-03-16;"SN";50
2013-03-17;"SN";58
