"Date";"State";"Goog_trend"
2013-01-01;"ST";60
2013-01-02;"ST";60
2013-01-03;"ST";60
2013-01-04;"ST";60
2013-01-05;"ST";60
2013-01-06;"ST";72
2013-01-07;"ST";72
2013-01-08;"ST";72
2013-01-09;"ST";72
2013-01-10;"ST";72
2013-01-11;"ST";72
2013-01-12;"ST";72
2013-01-13;"ST";49
2013-01-14;"ST";49
2013-01-15;"ST";49
2013-01-16;"ST";49
2013-01-17;"ST";49
2013-01-18;"ST";49
2013-01-19;"ST";49
2013-01-20;"ST";64
2013-01-21;"ST";64
2013-01-22;"ST";64
2013-01-23;"ST";64
2013-01-24;"ST";64
2013-01-25;"ST";64
2013-01-26;"ST";64
2013-01-27;"ST";42
2013-01-28;"ST";42
2013-01-29;"ST";42
2013-01-30;"ST";42
2013-01-31;"ST";42
2013-02-01;"ST";42
2013-02-02;"ST";42
2013-02-03;"ST";79
2013-02-04;"ST";79
2013-02-05;"ST";79
2013-02-06;"ST";79
2013-02-07;"ST";79
2013-02-08;"ST";79
2013-02-09;"ST";79
2013-02-10;"ST";54
2013-02-11;"ST";54
2013-02-12;"ST";54
2013-02-13;"ST";54
2013-02-14;"ST";54
2013-02-15;"ST";54
2013-02-16;"ST";54
2013-02-17;"ST";73
2013-02-18;"ST";73
2013-02-19;"ST";73
2013-02-20;"ST";73
2013-02-21;"ST";73
2013-02-22;"ST";73
2013-02-23;"ST";73
2013-02-24;"ST";56
2013-02-25;"ST";56
2013-02-26;"ST";56
2013-02-27;"ST";56
2013-02-28;"ST";56
2013-03-01;"ST";56
2013-03-02;"ST";56
2013-03-03;"ST";57
2013-03-04;"ST";57
2013-03-05;"ST";57
2013-03-06;"ST";57
2013-03-07;"ST";57
2013-03-08;"ST";57
2013-03-09;"ST";57
2013-03-10;"ST";53
2013-03-11;"ST";53
2013-03-12;"ST";53
2013-03-13;"ST";53
2013-03-14;"ST";53
2013-03-15;"ST";53
2013-03-16;"ST";53
2013-03-17;"ST";71
2013-03-18;"ST";71
2013-03-19;"ST";71
2013-03-20;"ST";71
2013-03-21;"ST";71
2013-03-22;"ST";71
2013-03-23;"ST";71
2013-03-24;"ST";74
2013-03-25;"ST";74
2013-03-26;"ST";74
2013-03-27;"ST";74
2013-03-28;"ST";74
2013-03-29;"ST";74
2013-03-30;"ST";74
2013-03-31;"ST";65
2013-04-01;"ST";65
2013-04-02;"ST";65
2013-04-03;"ST";65
2013-04-04;"ST";65
2013-04-05;"ST";65
2013-04-06;"ST";65
2013-04-07;"ST";71
2013-04-08;"ST";71
2013-04-09;"ST";71
2013-04-10;"ST";71
2013-04-11;"ST";71
2013-04-12;"ST";71
2013-04-13;"ST";71
2013-04-14;"ST";56
2013-04-15;"ST";56
2013-04-16;"ST";56
2013-04-17;"ST";56
2013-04-18;"ST";56
2013-04-19;"ST";56
2013-04-20;"ST";56
2013-04-21;"ST";72
2013-04-22;"ST";72
2013-04-23;"ST";72
2013-04-24;"ST";72
2013-04-25;"ST";72
2013-04-26;"ST";72
2013-04-27;"ST";72
2013-04-28;"ST";56
2013-04-29;"ST";56
2013-04-30;"ST";56
2013-05-01;"ST";56
2013-05-02;"ST";56
2013-05-03;"ST";56
2013-05-04;"ST";56
2013-05-05;"ST";62
2013-05-06;"ST";62
2013-05-07;"ST";62
2013-05-08;"ST";62
2013-05-09;"ST";62
2013-05-10;"ST";62
2013-05-11;"ST";62
2013-05-12;"ST";64
2013-05-13;"ST";64
2013-05-14;"ST";64
2013-05-15;"ST";64
2013-05-16;"ST";64
2013-05-17;"ST";64
2013-05-18;"ST";64
2013-05-19;"ST";52
2013-05-20;"ST";52
2013-05-21;"ST";52
2013-05-22;"ST";52
2013-05-23;"ST";52
2013-05-24;"ST";52
2013-05-25;"ST";52
2013-05-26;"ST";59
2013-05-27;"ST";59
2013-05-28;"ST";59
2013-05-29;"ST";59
2013-05-30;"ST";59
2013-05-31;"ST";59
2013-06-01;"ST";59
2013-06-02;"ST";43
2013-06-03;"ST";43
2013-06-04;"ST";43
2013-06-05;"ST";43
2013-06-06;"ST";43
2013-06-07;"ST";43
2013-06-08;"ST";43
2013-06-09;"ST";48
2013-06-10;"ST";48
2013-06-11;"ST";48
2013-06-12;"ST";48
2013-06-13;"ST";48
2013-06-14;"ST";48
2013-06-15;"ST";48
2013-06-16;"ST";81
2013-06-17;"ST";81
2013-06-18;"ST";81
2013-06-19;"ST";81
2013-06-20;"ST";81
2013-06-21;"ST";81
2013-06-22;"ST";81
2013-06-23;"ST";56
2013-06-24;"ST";56
2013-06-25;"ST";56
2013-06-26;"ST";56
2013-06-27;"ST";56
2013-06-28;"ST";56
2013-06-29;"ST";56
2013-06-30;"ST";69
2013-07-01;"ST";69
2013-07-02;"ST";69
2013-07-03;"ST";69
2013-07-04;"ST";69
2013-07-05;"ST";69
2013-07-06;"ST";69
2013-07-07;"ST";63
2013-07-08;"ST";63
2013-07-09;"ST";63
2013-07-10;"ST";63
2013-07-11;"ST";63
2013-07-12;"ST";63
2013-07-13;"ST";63
2013-07-14;"ST";68
2013-07-15;"ST";68
2013-07-16;"ST";68
2013-07-17;"ST";68
2013-07-18;"ST";68
2013-07-19;"ST";68
2013-07-20;"ST";68
2013-07-21;"ST";68
2013-07-22;"ST";68
2013-07-23;"ST";68
2013-07-24;"ST";68
2013-07-25;"ST";68
2013-07-26;"ST";68
2013-07-27;"ST";68
2013-07-28;"ST";80
2013-07-29;"ST";80
2013-07-30;"ST";80
2013-07-31;"ST";80
2013-08-01;"ST";80
2013-08-02;"ST";80
2013-08-03;"ST";80
2013-08-04;"ST";72
2013-08-05;"ST";72
2013-08-06;"ST";72
2013-08-07;"ST";72
2013-08-08;"ST";72
2013-08-09;"ST";72
2013-08-10;"ST";72
2013-08-11;"ST";70
2013-08-12;"ST";70
2013-08-13;"ST";70
2013-08-14;"ST";70
2013-08-15;"ST";70
2013-08-16;"ST";70
2013-08-17;"ST";70
2013-08-18;"ST";74
2013-08-19;"ST";74
2013-08-20;"ST";74
2013-08-21;"ST";74
2013-08-22;"ST";74
2013-08-23;"ST";74
2013-08-24;"ST";74
2013-08-25;"ST";76
2013-08-26;"ST";76
2013-08-27;"ST";76
2013-08-28;"ST";76
2013-08-29;"ST";76
2013-08-30;"ST";76
2013-08-31;"ST";76
2013-09-01;"ST";48
2013-09-02;"ST";48
2013-09-03;"ST";48
2013-09-04;"ST";48
2013-09-05;"ST";48
2013-09-06;"ST";48
2013-09-07;"ST";48
2013-09-08;"ST";64
2013-09-09;"ST";64
2013-09-10;"ST";64
2013-09-11;"ST";64
2013-09-12;"ST";64
2013-09-13;"ST";64
2013-09-14;"ST";64
2013-09-15;"ST";46
2013-09-16;"ST";46
2013-09-17;"ST";46
2013-09-18;"ST";46
2013-09-19;"ST";46
2013-09-20;"ST";46
2013-09-21;"ST";46
2013-09-22;"ST";68
2013-09-23;"ST";68
2013-09-24;"ST";68
2013-09-25;"ST";68
2013-09-26;"ST";68
2013-09-27;"ST";68
2013-09-28;"ST";68
2013-09-29;"ST";51
2013-09-30;"ST";51
2013-10-01;"ST";51
2013-10-02;"ST";51
2013-10-03;"ST";51
2013-10-04;"ST";51
2013-10-05;"ST";51
2013-10-06;"ST";60
2013-10-07;"ST";60
2013-10-08;"ST";60
2013-10-09;"ST";60
2013-10-10;"ST";60
2013-10-11;"ST";60
2013-10-12;"ST";60
2013-10-13;"ST";52
2013-10-14;"ST";52
2013-10-15;"ST";52
2013-10-16;"ST";52
2013-10-17;"ST";52
2013-10-18;"ST";52
2013-10-19;"ST";52
2013-10-20;"ST";72
2013-10-21;"ST";72
2013-10-22;"ST";72
2013-10-23;"ST";72
2013-10-24;"ST";72
2013-10-25;"ST";72
2013-10-26;"ST";72
2013-10-27;"ST";46
2013-10-28;"ST";46
2013-10-29;"ST";46
2013-10-30;"ST";46
2013-10-31;"ST";46
2013-11-01;"ST";46
2013-11-02;"ST";46
2013-11-03;"ST";66
2013-11-04;"ST";66
2013-11-05;"ST";66
2013-11-06;"ST";66
2013-11-07;"ST";66
2013-11-08;"ST";66
2013-11-09;"ST";66
2013-11-10;"ST";50
2013-11-11;"ST";50
2013-11-12;"ST";50
2013-11-13;"ST";50
2013-11-14;"ST";50
2013-11-15;"ST";50
2013-11-16;"ST";50
2013-11-17;"ST";77
2013-11-18;"ST";77
