"Date";"State";"Goog_trend"
2013-01-01;"TH";53
2013-01-02;"TH";53
2013-01-03;"TH";53
2013-01-04;"TH";53
2013-01-05;"TH";53
2013-01-06;"TH";65
2013-01-07;"TH";65
2013-01-08;"TH";65
2013-01-09;"TH";65
2013-01-10;"TH";65
2013-01-11;"TH";65
2013-01-12;"TH";65
2013-01-13;"TH";43
2013-01-14;"TH";43
2013-01-15;"TH";43
2013-01-16;"TH";43
2013-01-17;"TH";43
2013-01-18;"TH";43
2013-01-19;"TH";43
2013-01-20;"TH";45
2013-01-21;"TH";45
2013-01-22;"TH";45
2013-01-23;"TH";45
2013-01-24;"TH";45
2013-01-25;"TH";45
2013-01-26;"TH";45
2013-01-27;"TH";43
2013-01-28;"TH";43
2013-01-29;"TH";43
2013-01-30;"TH";43
2013-01-31;"TH";43
2013-02-01;"TH";43
2013-02-02;"TH";43
2013-02-03;"TH";41
2013-02-04;"TH";41
2013-02-05;"TH";41
2013-02-06;"TH";41
2013-02-07;"TH";41
2013-02-08;"TH";41
2013-02-09;"TH";41
2013-02-10;"TH";44
2013-02-11;"TH";44
2013-02-12;"TH";44
2013-02-13;"TH";44
2013-02-14;"TH";44
2013-02-15;"TH";44
2013-02-16;"TH";44
2013-02-17;"TH";59
2013-02-18;"TH";59
2013-02-19;"TH";59
2013-02-20;"TH";59
2013-02-21;"TH";59
2013-02-22;"TH";59
2013-02-23;"TH";59
2013-02-24;"TH";43
2013-02-25;"TH";43
2013-02-26;"TH";43
2013-02-27;"TH";43
2013-02-28;"TH";43
2013-03-01;"TH";43
2013-03-02;"TH";43
2013-03-03;"TH";43
2013-03-04;"TH";43
2013-03-05;"TH";43
2013-03-06;"TH";43
2013-03-07;"TH";43
2013-03-08;"TH";43
2013-03-09;"TH";43
2013-03-10;"TH";56
2013-03-11;"TH";56
2013-03-12;"TH";56
2013-03-13;"TH";56
2013-03-14;"TH";56
2013-03-15;"TH";56
2013-03-16;"TH";56
2013-03-17;"TH";53
2013-03-18;"TH";53
2013-03-19;"TH";53
2013-03-20;"TH";53
2013-03-21;"TH";53
2013-03-22;"TH";53
2013-03-23;"TH";53
2013-03-24;"TH";50
2013-03-25;"TH";50
2013-03-26;"TH";50
2013-03-27;"TH";50
2013-03-28;"TH";50
2013-03-29;"TH";50
2013-03-30;"TH";50
2013-03-31;"TH";66
2013-04-01;"TH";66
2013-04-02;"TH";66
2013-04-03;"TH";66
2013-04-04;"TH";66
2013-04-05;"TH";66
2013-04-06;"TH";66
2013-04-07;"TH";70
2013-04-08;"TH";70
2013-04-09;"TH";70
2013-04-10;"TH";70
2013-04-11;"TH";70
2013-04-12;"TH";70
2013-04-13;"TH";70
2013-04-14;"TH";49
2013-04-15;"TH";49
2013-04-16;"TH";49
2013-04-17;"TH";49
2013-04-18;"TH";49
2013-04-19;"TH";49
2013-04-20;"TH";49
2013-04-21;"TH";66
2013-04-22;"TH";66
2013-04-23;"TH";66
2013-04-24;"TH";66
2013-04-25;"TH";66
2013-04-26;"TH";66
2013-04-27;"TH";66
2013-04-28;"TH";46
2013-04-29;"TH";46
2013-04-30;"TH";46
2013-05-01;"TH";46
2013-05-02;"TH";46
2013-05-03;"TH";46
2013-05-04;"TH";46
2013-05-05;"TH";52
2013-05-06;"TH";52
2013-05-07;"TH";52
2013-05-08;"TH";52
2013-05-09;"TH";52
2013-05-10;"TH";52
2013-05-11;"TH";52
2013-05-12;"TH";52
2013-05-13;"TH";52
2013-05-14;"TH";52
2013-05-15;"TH";52
2013-05-16;"TH";52
2013-05-17;"TH";52
2013-05-18;"TH";52
2013-05-19;"TH";66
2013-05-20;"TH";66
2013-05-21;"TH";66
2013-05-22;"TH";66
2013-05-23;"TH";66
2013-05-24;"TH";66
2013-05-25;"TH";66
2013-05-26;"TH";62
2013-05-27;"TH";62
2013-05-28;"TH";62
2013-05-29;"TH";62
2013-05-30;"TH";62
2013-05-31;"TH";62
2013-06-01;"TH";62
2013-06-02;"TH";55
2013-06-03;"TH";55
2013-06-04;"TH";55
2013-06-05;"TH";55
2013-06-06;"TH";55
2013-06-07;"TH";55
2013-06-08;"TH";55
2013-06-09;"TH";49
2013-06-10;"TH";49
2013-06-11;"TH";49
2013-06-12;"TH";49
2013-06-13;"TH";49
2013-06-14;"TH";49
2013-06-15;"TH";49
2013-06-16;"TH";63
2013-06-17;"TH";63
2013-06-18;"TH";63
2013-06-19;"TH";63
2013-06-20;"TH";63
2013-06-21;"TH";63
2013-06-22;"TH";63
2013-06-23;"TH";52
2013-06-24;"TH";52
2013-06-25;"TH";52
2013-06-26;"TH";52
2013-06-27;"TH";52
2013-06-28;"TH";52
2013-06-29;"TH";52
2013-06-30;"TH";55
2013-07-01;"TH";55
2013-07-02;"TH";55
2013-07-03;"TH";55
2013-07-04;"TH";55
2013-07-05;"TH";55
2013-07-06;"TH";55
2013-07-07;"TH";53
2013-07-08;"TH";53
2013-07-09;"TH";53
2013-07-10;"TH";53
2013-07-11;"TH";53
2013-07-12;"TH";53
2013-07-13;"TH";53
