Websuche-Interesse: rossmann,,,,,,,
Deutschland; Dez. 2012 - Sep. 2015,,,,,,,
,,,,,,,
Interesse im Laufe der Zeit,,,,,,,
Woche,,,Dez. 2012 - Sep. 2015,,,,"""Date"";""Goog_trend_ALL"""
12/2/12,-,12/8/12,77,,1/1/13,61,2013-01-01;61
12/9/12,-,12/15/12,76,,1/2/13,61,2013-01-02;61
12/16/12,-,12/22/12,85,,1/3/13,61,2013-01-03;61
12/23/12,-,12/29/12,59,,1/4/13,61,2013-01-04;61
12/30/12,-,1/5/13,61,,1/5/13,61,2013-01-05;61
1/6/13,-,1/12/13,62,,1/6/13,62,2013-01-06;62
1/13/13,-,1/19/13,51,,1/7/13,62,2013-01-07;62
1/20/13,-,1/26/13,56,,1/8/13,62,2013-01-08;62
1/27/13,-,2/2/13,50,,1/9/13,62,2013-01-09;62
2/3/13,-,2/9/13,58,,1/10/13,62,2013-01-10;62
2/10/13,-,2/16/13,51,,1/11/13,62,2013-01-11;62
2/17/13,-,2/23/13,58,,1/12/13,62,2013-01-12;62
2/24/13,-,3/2/13,51,,1/13/13,51,2013-01-13;51
3/3/13,-,3/9/13,55,,1/14/13,51,2013-01-14;51
3/10/13,-,3/16/13,54,,1/15/13,51,2013-01-15;51
3/17/13,-,3/23/13,62,,1/16/13,51,2013-01-16;51
3/24/13,-,3/30/13,57,,1/17/13,51,2013-01-17;51
3/31/13,-,4/6/13,57,,1/18/13,51,2013-01-18;51
4/7/13,-,4/13/13,59,,1/19/13,51,2013-01-19;51
4/14/13,-,4/20/13,50,,1/20/13,56,2013-01-20;56
4/21/13,-,4/27/13,59,,1/21/13,56,2013-01-21;56
4/28/13,-,5/4/13,52,,1/22/13,56,2013-01-22;56
5/5/13,-,5/11/13,56,,1/23/13,56,2013-01-23;56
5/12/13,-,5/18/13,60,,1/24/13,56,2013-01-24;56
5/19/13,-,5/25/13,53,,1/25/13,56,2013-01-25;56
5/26/13,-,6/1/13,65,,1/26/13,56,2013-01-26;56
6/2/13,-,6/8/13,55,,1/27/13,50,2013-01-27;50
6/9/13,-,6/15/13,55,,1/28/13,50,2013-01-28;50
6/16/13,-,6/22/13,67,,1/29/13,50,2013-01-29;50
6/23/13,-,6/29/13,59,,1/30/13,50,2013-01-30;50
6/30/13,-,7/6/13,66,,1/31/13,50,2013-01-31;50
7/7/13,-,7/13/13,58,,2/1/13,50,2013-02-01;50
7/14/13,-,7/20/13,67,,2/2/13,50,2013-02-02;50
7/21/13,-,7/27/13,60,,2/3/13,58,2013-02-03;58
7/28/13,-,8/3/13,72,,2/4/13,58,2013-02-04;58
8/4/13,-,8/10/13,60,,2/5/13,58,2013-02-05;58
8/11/13,-,8/17/13,68,,2/6/13,58,2013-02-06;58
8/18/13,-,8/24/13,61,,2/7/13,58,2013-02-07;58
8/25/13,-,8/31/13,69,,2/8/13,58,2013-02-08;58
9/1/13,-,9/7/13,57,,2/9/13,58,2013-02-09;58
9/8/13,-,9/14/13,63,,2/10/13,51,2013-02-10;51
9/15/13,-,9/21/13,51,,2/11/13,51,2013-02-11;51
9/22/13,-,9/28/13,60,,2/12/13,51,2013-02-12;51
9/29/13,-,10/5/13,53,,2/13/13,51,2013-02-13;51
10/6/13,-,10/12/13,62,,2/14/13,51,2013-02-14;51
10/13/13,-,10/19/13,56,,2/15/13,51,2013-02-15;51
10/20/13,-,10/26/13,63,,2/16/13,51,2013-02-16;51
10/27/13,-,11/2/13,60,,2/17/13,58,2013-02-17;58
11/3/13,-,11/9/13,66,,2/18/13,58,2013-02-18;58
11/10/13,-,11/16/13,56,,2/19/13,58,2013-02-19;58
11/17/13,-,11/23/13,71,,2/20/13,58,2013-02-20;58
11/24/13,-,11/30/13,65,,2/21/13,58,2013-02-21;58
12/1/13,-,12/7/13,76,,2/22/13,58,2013-02-22;58
12/8/13,-,12/14/13,79,,2/23/13,58,2013-02-23;58
12/15/13,-,12/21/13,97,,2/24/13,51,2013-02-24;51
12/22/13,-,12/28/13,63,,2/25/13,51,2013-02-25;51
12/29/13,-,1/4/14,65,,2/26/13,51,2013-02-26;51
1/5/14,-,1/11/14,67,,2/27/13,51,2013-02-27;51
1/12/14,-,1/18/14,55,,2/28/13,51,2013-02-28;51
1/19/14,-,1/25/14,67,,3/1/13,51,2013-03-01;51
1/26/14,-,2/1/14,57,,3/2/13,51,2013-03-02;51
2/2/14,-,2/8/14,68,,3/3/13,55,2013-03-03;55
2/9/14,-,2/15/14,57,,3/4/13,55,2013-03-04;55
2/16/14,-,2/22/14,68,,3/5/13,55,2013-03-05;55
2/23/14,-,3/1/14,56,,3/6/13,55,2013-03-06;55
3/2/14,-,3/8/14,67,,3/7/13,55,2013-03-07;55
3/9/14,-,3/15/14,55,,3/8/13,55,2013-03-08;55
3/16/14,-,3/22/14,70,,3/9/13,55,2013-03-09;55
3/23/14,-,3/29/14,55,,3/10/13,54,2013-03-10;54
3/30/14,-,4/5/14,66,,3/11/13,54,2013-03-11;54
4/6/14,-,4/12/14,57,,3/12/13,54,2013-03-12;54
4/13/14,-,4/19/14,69,,3/13/13,54,2013-03-13;54
4/20/14,-,4/26/14,56,,3/14/13,54,2013-03-14;54
4/27/14,-,5/3/14,74,,3/15/13,54,2013-03-15;54
5/4/14,-,5/10/14,71,,3/16/13,54,2013-03-16;54
5/11/14,-,5/17/14,60,,3/17/13,62,2013-03-17;62
5/18/14,-,5/24/14,72,,3/18/13,62,2013-03-18;62
5/25/14,-,5/31/14,58,,3/19/13,62,2013-03-19;62
6/1/14,-,6/7/14,71,,3/20/13,62,2013-03-20;62
6/8/14,-,6/14/14,60,,3/21/13,62,2013-03-21;62
6/15/14,-,6/21/14,75,,3/22/13,62,2013-03-22;62
6/22/14,-,6/28/14,62,,3/23/13,62,2013-03-23;62
6/29/14,-,7/5/14,77,,3/24/13,57,2013-03-24;57
7/6/14,-,7/12/14,62,,3/25/13,57,2013-03-25;57
7/13/14,-,7/19/14,73,,3/26/13,57,2013-03-26;57
7/20/14,-,7/26/14,65,,3/27/13,57,2013-03-27;57
7/27/14,-,8/2/14,77,,3/28/13,57,2013-03-28;57
8/3/14,-,8/9/14,74,,3/29/13,57,2013-03-29;57
8/10/14,-,8/16/14,72,,3/30/13,57,2013-03-30;57
8/17/14,-,8/23/14,81,,3/31/13,57,2013-03-31;57
8/24/14,-,8/30/14,66,,4/1/13,57,2013-04-01;57
8/31/14,-,9/6/14,77,,4/2/13,57,2013-04-02;57
9/7/14,-,9/13/14,62,,4/3/13,57,2013-04-03;57
9/14/14,-,9/20/14,70,,4/4/13,57,2013-04-04;57
9/21/14,-,9/27/14,58,,4/5/13,57,2013-04-05;57
9/28/14,-,10/4/14,72,,4/6/13,57,2013-04-06;57
10/5/14,-,10/11/14,68,,4/7/13,59,2013-04-07;59
10/12/14,-,10/18/14,64,,4/8/13,59,2013-04-08;59
10/19/14,-,10/25/14,72,,4/9/13,59,2013-04-09;59
10/26/14,-,11/1/14,63,,4/10/13,59,2013-04-10;59
11/2/14,-,11/8/14,72,,4/11/13,59,2013-04-11;59
11/9/14,-,11/15/14,71,,4/12/13,59,2013-04-12;59
11/16/14,-,11/22/14,68,,4/13/13,59,2013-04-13;59
11/23/14,-,11/29/14,84,,4/14/13,50,2013-04-14;50
11/30/14,-,12/6/14,86,,4/15/13,50,2013-04-15;50
12/7/14,-,12/13/14,89,,4/16/13,50,2013-04-16;50
12/14/14,-,12/20/14,100,,4/17/13,50,2013-04-17;50
12/21/14,-,12/27/14,79,,4/18/13,50,2013-04-18;50
12/28/14,-,1/3/15,73,,4/19/13,50,2013-04-19;50
1/4/15,-,1/10/15,72,,4/20/13,50,2013-04-20;50
1/11/15,-,1/17/15,67,,4/21/13,59,2013-04-21;59
1/18/15,-,1/24/15,62,,4/22/13,59,2013-04-22;59
1/25/15,-,1/31/15,76,,4/23/13,59,2013-04-23;59
2/1/15,-,2/7/15,72,,4/24/13,59,2013-04-24;59
2/8/15,-,2/14/15,66,,4/25/13,59,2013-04-25;59
2/15/15,-,2/21/15,74,,4/26/13,59,2013-04-26;59
2/22/15,-,2/28/15,65,,4/27/13,59,2013-04-27;59
3/1/15,-,3/7/15,71,,4/28/13,52,2013-04-28;52
3/8/15,-,3/14/15,64,,4/29/13,52,2013-04-29;52
3/15/15,-,3/21/15,74,,4/30/13,52,2013-04-30;52
3/22/15,-,3/28/15,63,,5/1/13,52,2013-05-01;52
3/29/15,-,4/4/15,75,,5/2/13,52,2013-05-02;52
4/5/15,-,4/11/15,66,,5/3/13,52,2013-05-03;52
4/12/15,-,4/18/15,69,,5/4/13,52,2013-05-04;52
4/19/15,-,4/25/15,65,,5/5/13,56,2013-05-05;56
4/26/15,-,5/2/15,79,,5/6/13,56,2013-05-06;56
5/3/15,-,5/9/15,73,,5/7/13,56,2013-05-07;56
5/10/15,-,5/16/15,67,,5/8/13,56,2013-05-08;56
5/17/15,-,5/23/15,76,,5/9/13,56,2013-05-09;56
5/24/15,-,5/30/15,70,,5/10/13,56,2013-05-10;56
5/31/15,-,6/6/15,77,,5/11/13,56,2013-05-11;56
6/7/15,-,6/13/15,68,,5/12/13,60,2013-05-12;60
6/14/15,-,6/20/15,82,,5/13/13,60,2013-05-13;60
6/21/15,-,6/27/15,71,,5/14/13,60,2013-05-14;60
6/28/15,-,7/4/15,86,,5/15/13,60,2013-05-15;60
7/5/15,-,7/11/15,74,,5/16/13,60,2013-05-16;60
7/12/15,-,7/18/15,86,,5/17/13,60,2013-05-17;60
7/19/15,-,7/25/15,74,,5/18/13,60,2013-05-18;60
7/26/15,-,8/1/15,87,,5/19/13,53,2013-05-19;53
8/2/15,-,8/8/15,83,,5/20/13,53,2013-05-20;53
8/9/15,-,8/15/15,76,,5/21/13,53,2013-05-21;53
8/16/15,-,8/22/15,84,,5/22/13,53,2013-05-22;53
8/23/15,-,8/29/15,70,,5/23/13,53,2013-05-23;53
8/30/15,-,9/5/15,78,,5/24/13,53,2013-05-24;53
9/6/15,-,9/12/15,71,,5/25/13,53,2013-05-25;53
9/13/15,-,9/19/15,77,,5/26/13,65,2013-05-26;65
9/20/15,-,9/26/15,67,,5/27/13,65,2013-05-27;65
9/27/15,-,10/3/15,71,,5/28/13,65,2013-05-28;65
,,,,,5/29/13,65,2013-05-29;65
,,,,,5/30/13,65,2013-05-30;65
Top-Unterregionen fÃ_r: Dez. 2012 - Sep. 2015,,,,,5/31/13,65,2013-05-31;65
Unterregion,,,Dez. 2012 - Sep. 2015,,6/1/13,65,2013-06-01;65
Mecklenburg-Vorpommern,,,100,,6/2/13,55,2013-06-02;55
Sachsen-Anhalt,,,96,,6/3/13,55,2013-06-03;55
Bremen,,,92,,6/4/13,55,2013-06-04;55
Brandenburg,,,91,,6/5/13,55,2013-06-05;55
Niedersachsen,,,90,,6/6/13,55,2013-06-06;55
Schleswig-Holstein,,,88,,6/7/13,55,2013-06-07;55
Sachsen,,,88,,6/8/13,55,2013-06-08;55
Berlin,,,78,,6/9/13,55,2013-06-09;55
ThÃ_ringen,,,68,,6/10/13,55,2013-06-10;55
Hamburg,,,64,,6/11/13,55,2013-06-11;55
Nordrhein-Westfalen,,,59,,6/12/13,55,2013-06-12;55
Hessen,,,50,,6/13/13,55,2013-06-13;55
Bayern,,,42,,6/14/13,55,2013-06-14;55
Rheinland-Pfalz,,,40,,6/15/13,55,2013-06-15;55
Saarland,,,32,,6/16/13,67,2013-06-16;67
Baden-WÃ_rttemberg,,,25,,6/17/13,67,2013-06-17;67
Schaffhausen,,,0,,6/18/13,67,2013-06-18;67
,,,,,6/19/13,67,2013-06-19;67
,,,,,6/20/13,67,2013-06-20;67
Top-StÃ_dte fÃ_r: Dez. 2012 - Sep. 2015,,,,,6/21/13,67,2013-06-21;67
