Date,Open,High,Low,Close,Volume,Adj Close
2015-11-23,96.18,96.18,94.33,94.68,548700,94.68
2015-11-20,95.64,96.19,95.05,95.99,436100,95.99
2015-11-19,96.32,97.44,95.47,95.65,592400,95.65
2015-11-18,94.84,95.50,93.68,95.45,492100,95.45
2015-11-17,94.00,95.39,93.32,95.25,503800,95.25
2015-11-16,90.29,94.19,90.10,93.01,550100,93.01
2015-11-13,92.83,92.83,90.15,91.22,706800,91.22
2015-11-12,93.01,94.40,91.88,92.41,1000000,92.41
2015-11-11,90.36,91.83,90.23,91.07,568000,91.07
2015-11-10,89.06,90.05,88.52,89.66,310300,89.66
2015-11-09,90.31,90.49,88.97,89.09,353200,89.09
2015-11-06,88.50,90.77,88.25,90.31,457200,90.31
2015-11-05,88.61,90.30,88.37,89.08,408700,89.08
2015-11-04,90.15,90.93,87.97,88.16,699900,88.16
2015-11-03,90.00,90.14,89.31,89.55,496600,89.55
2015-11-02,88.00,89.83,87.09,89.62,667500,89.62
2015-10-30,88.65,89.64,88.15,88.83,901600,88.83
2015-10-29,85.91,86.85,85.51,86.85,486000,86.85
2015-10-28,84.04,86.21,83.96,85.95,464500,85.95
2015-10-27,84.36,84.69,83.52,84.09,461800,84.09
2015-10-26,84.50,84.93,83.84,84.64,477700,84.64
2015-10-23,79.50,84.55,78.98,84.21,1026500,84.21
2015-10-22,77.84,79.33,77.06,79.06,618900,79.06
2015-10-21,78.23,78.94,77.53,77.76,364400,77.76
2015-10-20,79.30,79.42,78.11,78.34,437200,78.34
2015-10-19,78.50,79.70,78.36,79.44,318300,79.44
2015-10-16,77.79,78.57,77.44,78.48,503800,78.48
2015-10-15,75.29,77.50,75.12,77.16,504200,77.16
2015-10-14,76.67,76.67,74.60,74.90,615600,74.90
2015-10-13,77.17,77.47,76.20,76.74,388300,76.74
2015-10-12,77.42,77.64,76.43,77.37,380700,77.37
2015-10-09,78.46,78.55,76.90,77.47,457600,77.47
2015-10-08,77.57,78.46,77.30,77.80,379600,77.80
