DateTime,Actual,Consensus,Previous,Revised
10/28/2015 07:00:00,9.400,9.400,9.600,9.600
09/24/2015 06:00:00,9.600,9.800,9.900,
08/21/2015 06:00:00,9.900,10.100,10.100,
07/29/2015 06:00:00,10.100,10.100,10.100,
06/25/2015 06:00:00,10.100,10.200,10.200,
05/27/2015 06:00:00,10.200,10.000,10.100,
04/23/2015 06:00:00,10.100,10.200,10.000,
03/26/2015 07:00:00,10.000,9.800,9.700,
02/26/2015 07:00:00,9.700,9.500,9.300,
01/28/2015 07:00:00,9.300,9.100,9.000,
12/19/2014 07:00:00,9.000,8.800,8.700,
11/27/2014 12:00:00,8.700,8.600,8.500,
10/24/2014 06:00:00,8.500,8.000,8.400,8.300
09/26/2014 06:00:00,8.400,8.500,8.600,
08/27/2014 06:00:00,8.600,9.000,8.900,9.000
07/25/2014 06:00:00,8.900,8.900,8.900,
06/25/2014 06:00:00,8.900,8.500,8.600,8.500
05/26/2014 06:00:00,8.600,8.500,8.500,
04/29/2014 06:00:00,8.500,8.500,8.500,
03/26/2014 07:00:00,8.500,8.500,8.500,
02/26/2014 07:00:00,8.500,8.200,8.300,8.200
01/29/2014 07:00:00,8.300,7.600,7.700,7.600
12/20/2013 07:00:00,7.700,7.400,7.400,
11/27/2013 09:00:00,7.400,7.100,7.100,7.000
10/31/2013 07:00:00,7.100,7.200,7.100,
09/25/2013 06:00:00,7.100,7.000,7.000,6.900
08/28/2013 06:00:00,7.000,7.100,7.000,
07/30/2013 06:00:00,7.000,6.900,6.800,
06/26/2013 06:00:00,6.800,6.500,6.500,
05/24/2013 06:00:00,6.500,6.200,6.200,
04/30/2013 06:00:00,6.200,5.900,6.000,5.900
03/27/2013 07:00:00,6.000,5.900,5.900,
02/27/2013 07:00:00,5.900,5.900,5.800,
01/29/2013 07:00:00,5.800,5.700,5.700,5.600
12/21/2012 07:00:00,5.700,5.900,5.800,5.900
11/26/2012 12:00:00,5.800,6.200,6.100,6.300
10/26/2012 06:00:00,6.100,5.900,5.900,5.900
09/25/2012 06:00:00,5.900,5.900,5.900,
08/28/2012 06:00:00,5.900,5.800,5.900,
07/26/2012 06:00:00,5.900,5.800,5.800,
06/26/2012 06:00:00,5.800,5.600,5.700,
05/25/2012 06:00:00,5.700,5.600,5.700,5.600
04/27/2012 06:00:00,5.700,5.900,5.800,5.900
03/27/2012 06:00:00,5.800,6.100,6.000,
02/28/2012 07:00:00,6.000,6.000,5.900,
01/26/2012 07:00:00,5.900,5.600,5.700,5.700
12/20/2011 07:00:00,5.700,5.600,5.600,
11/28/2011 12:00:00,5.600,5.200,5.400,5.300
10/25/2011 06:00:00,5.400,5.100,5.200,
09/27/2011 06:00:00,5.200,5.100,5.200,
08/25/2011 06:00:00,5.200,5.200,5.300,5.400
07/26/2011 06:00:00,5.300,5.600,5.500,5.700
06/28/2011 06:00:00,5.500,5.300,5.600,5.500
05/25/2011 06:00:00,5.600,5.700,5.700,
04/27/2011 06:00:00,5.700,5.900,5.900,
03/29/2011 06:00:00,5.900,5.900,6.000,
02/22/2011 07:00:00,6.000,,5.800,5.700
01/25/2011 07:00:00,5.800,5.400,5.600,5.500
12/21/2010 07:00:00,5.600,5.700,5.500,
11/23/2010 12:00:00,5.500,5.100,5.200,5.100
10/26/2010 06:00:37,5.200,5.200,5.000,4.900
09/28/2010 06:00:00,5.000,4.200,4.400,4.300
08/26/2010 08:00:00,4.400,4.100,4.100,3.900
07/27/2010 06:00:00,4.100,3.600,3.700,3.500
06/23/2010 06:00:00,3.700,3.300,3.500,
05/26/2010 06:00:00,3.500,3.700,3.700,3.800
04/27/2010 06:00:00,3.700,3.300,3.400,3.200
03/25/2010 07:00:00,3.400,3.100,3.200,
02/24/2010 07:00:00,3.200,3.100,3.300,3.200
01/25/2010 07:00:00,3.300,3.200,3.400,3.300
12/22/2009 07:00:00,3.400,3.600,3.600,3.700
11/25/2009 07:00:00,3.600,4.200,3.900,4.000
10/26/2009 07:00:00,3.900,4.500,4.200,4.300
09/25/2009 06:10:00,4.200,,3.800,
08/27/2009 06:00:00,3.800,3.600,3.400,3.500
07/27/2009 06:00:00,3.400,,3.000,2.900
06/23/2009 06:00:00,3.000,2.500,2.700,2.500
05/26/2009 06:00:00,2.700,2.500,2.600,2.500
04/27/2009 06:00:00,2.600,2.300,2.500,2.400
03/26/2009 07:00:00,2.500,2.500,2.500,2.600
02/26/2009 07:00:00,2.500,2.000,2.300,2.200
01/28/2009 07:00:00,2.300,1.900,2.200,2.100
12/22/2008 07:00:00,2.200,2.100,2.100,2.200
11/25/2008 07:00:00,2.100,1.500,1.900,
10/28/2008 07:00:00,1.900,1.500,1.800,
09/25/2008 06:10:00,1.800,1.300,1.600,1.500
08/26/2008 06:00:00,1.600,2.000,2.100,
07/28/2008 06:10:00,2.100,,3.600,3.900
06/24/2008 06:10:00,3.600,4.900,4.700,4.900
05/27/2008 06:00:00,4.700,5.700,5.600,5.900
04/28/2008 06:10:00,5.600,,4.800,4.600
03/27/2008 07:10:00,4.800,4.400,4.500,
02/27/2008 07:00:00,4.500,4.400,4.500,
01/25/2008 07:10:00,4.500,4.300,4.500,
12/20/2007 07:00:00,4.500,4.000,4.400,4.300
11/28/2007 07:00:00,4.400,4.400,4.800,4.900
10/26/2007 06:00:00,4.800,6.500,6.700,6.800
09/26/2007 06:10:00,6.700,7.000,7.400,7.600
08/29/2007 06:10:00,7.400,8.500,8.500,8.700
07/27/2007 06:10:00,8.500,8.600,8.500,8.400
06/25/2007 06:10:00,8.500,7.800,7.400,7.300
05/25/2007 06:10:00,7.400,6.000,5.700,5.500
04/26/2007 06:10:00,5.700,4.500,4.400,
03/28/2007 06:10:00,4.400,4.500,,
