"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-01",101.4507,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-02",101.456,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-03",101.4719,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-04",101.397,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-05",101.2741,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-06",101.0352,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-07",100.7271,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-08",100.3078,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-09",99.70506,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-10",98.8616,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-11",97.92944,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2008-12",97.16074,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-01",96.66057,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-02",96.35032,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-03",96.25242,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-04",96.3356,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-05",96.53342,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-06",96.81981,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-07",97.15879,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-08",97.54685,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-09",97.90089,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-10",98.28249,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-11",98.646,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2009-12",99.01263,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-01",99.37915,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-02",99.75947,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-03",100.1584,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-04",100.5315,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-05",100.8626,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-06",101.1309,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-07",101.3427,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-08",101.5352,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-09",101.7577,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-10",101.9924,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-11",102.2497,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2010-12",102.4918,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-01",102.6366,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-02",102.7348,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-03",102.7237,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-04",102.6575,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-05",102.5368,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-06",102.3296,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-07",102.0128,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-08",101.6089,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-09",101.2535,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-10",101.0324,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-11",100.9735,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2011-12",101.0303,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-01",101.1405,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-02",101.1466,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-03",100.9693,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-04",100.7146,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-05",100.3864,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-06",100.0275,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-07",99.67385,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-08",99.41825,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-09",99.24255,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-10",99.2165,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-11",99.40119,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2012-12",99.62569,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2013-01",99.83537,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2013-02",99.94671,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2013-03",99.92124,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2013-04",99.85829,
"DEU","BCI","AMPLITUD","LTRENDIDX","M","2013-05",99.86169,
