"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",100.2674,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",100.1483,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",100.06,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",100.0173,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",99.86816,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",99.48215,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",99.02885,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",98.65028,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.38966,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",98.21762,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",98.20683,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",98.45465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",98.72438,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",98.8335,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.95142,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.18078,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",99.40524,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",99.5415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",99.78767,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.04,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.1711,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.1472,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.0779,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.98167,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.97612,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.0126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1141,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.227,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.3346,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.4299,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.4685,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.4967,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.7074,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.896,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.8947,
