"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-01",100.568,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-02",100.9474,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-03",101.3097,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-04",101.6316,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-05",101.889,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-06",102.0825,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-07",102.2252,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-08",102.3338,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-09",102.4258,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-10",102.5114,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-11",102.5893,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2010-12",102.6499,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-01",102.6769,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-02",102.6458,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-03",102.5337,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-04",102.3278,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-05",102.0277,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-06",101.6414,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-07",101.2011,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-08",100.7518,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-09",100.3477,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-10",100.0367,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-11",99.82533,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2011-12",99.71554,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-01",99.6696,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-02",99.64082,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-03",99.58443,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-04",99.47336,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-05",99.30531,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-06",99.09928,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-07",98.89901,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-08",98.75313,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-09",98.6889,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-10",98.72548,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-11",98.84996,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2012-12",99.02795,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-01",99.22213,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-02",99.39678,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-03",99.53571,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-04",99.66572,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-05",99.82246,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-06",100.0175,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-07",100.2388,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-08",100.4806,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-09",100.711,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-10",100.9061,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-11",101.0469,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2013-12",101.1228,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-01",101.132,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-02",101.0714,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-03",100.9512,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-04",100.785,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-05",100.585,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-06",100.3777,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-07",100.1782,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-08",99.99519,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-09",99.85664,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-10",99.77879,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-11",99.75967,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2014-12",99.78864,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-01",99.84603,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-02",99.91421,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-03",99.98272,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-04",100.0345,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-05",100.0567,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-06",100.0454,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-07",100.0009,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-08",99.92992,
"DEU","CLI","AMPLITUD","LTRENDIDX","M","2015-09",99.84264,
