"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","2000",4.19572328622823,
"AUS","HHDI","NET","AGRWTH","A","2001",4.18215743969795,
"AUS","HHDI","NET","AGRWTH","A","2002",1.11792881315759,
"AUS","HHDI","NET","AGRWTH","A","2003",5.57649102477767,
"AUS","HHDI","NET","AGRWTH","A","2004",5.5283900660403,
"AUS","HHDI","NET","AGRWTH","A","2005",2.54211024797718,
"AUS","HHDI","NET","AGRWTH","A","2006",5.04975541682501,
"AUS","HHDI","NET","AGRWTH","A","2007",6.54125769598132,
"AUS","HHDI","NET","AGRWTH","A","2008",6.53060559566762,
"AUS","HHDI","NET","AGRWTH","A","2009",1.41446678254627,
"AUS","HHDI","NET","AGRWTH","A","2010",4.41419629456296,
"AUS","HHDI","NET","AGRWTH","A","2011",3.79919141949641,
"AUS","HHDI","NET","AGRWTH","A","2012",0.785812116157734,
"AUS","HHDI","NET","AGRWTH","A","2013",1.58702972483701,
"AUT","HHDI","NET","AGRWTH","A","2000",1.48629049493311,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.462793618612135,
"AUT","HHDI","NET","AGRWTH","A","2002",1.1956507301224,
"AUT","HHDI","NET","AGRWTH","A","2003",1.89093797007819,
"AUT","HHDI","NET","AGRWTH","A","2004",1.91250792142422,
"AUT","HHDI","NET","AGRWTH","A","2005",3.65655435788353,
"AUT","HHDI","NET","AGRWTH","A","2006",2.91927979202267,
"AUT","HHDI","NET","AGRWTH","A","2007",2.32670537193267,
"AUT","HHDI","NET","AGRWTH","A","2008",1.09451727251919,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.0084167374109,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.951283600373812,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.014875550763581,
"AUT","HHDI","NET","AGRWTH","A","2012",1.79239877708456,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.51261295140876,
"AUT","HHDI","NET","AGRWTH","A","2014",0.575688857652156,
"BEL","HHDI","NET","AGRWTH","A","2000",1.96866913131421,
"BEL","HHDI","NET","AGRWTH","A","2001",2.41653681434102,
"BEL","HHDI","NET","AGRWTH","A","2002",-0.174495998612849,
"BEL","HHDI","NET","AGRWTH","A","2003",0.224656231934176,
"BEL","HHDI","NET","AGRWTH","A","2004",0.055587533678666,
"BEL","HHDI","NET","AGRWTH","A","2005",0.857421552067735,
"BEL","HHDI","NET","AGRWTH","A","2006",2.0179726598874,
"BEL","HHDI","NET","AGRWTH","A","2007",1.96803994186774,
"BEL","HHDI","NET","AGRWTH","A","2008",2.19903873161309,
"BEL","HHDI","NET","AGRWTH","A","2009",1.89466728954508,
"BEL","HHDI","NET","AGRWTH","A","2010",-0.598782871151413,
"BEL","HHDI","NET","AGRWTH","A","2011",-0.503341646784581,
"BEL","HHDI","NET","AGRWTH","A","2012",0.64713580726039,
"BEL","HHDI","NET","AGRWTH","A","2013",-0.508874214911114,
"BEL","HHDI","NET","AGRWTH","A","2014",0.539290643106719,
"CAN","HHDI","NET","AGRWTH","A","2000",3.9815428837406,"E"
"CAN","HHDI","NET","AGRWTH","A","2001",2.46801914062635,"E"
"CAN","HHDI","NET","AGRWTH","A","2002",2.17198502749494,"E"
"CAN","HHDI","NET","AGRWTH","A","2003",2.22068239103492,"E"
"CAN","HHDI","NET","AGRWTH","A","2004",3.49252940970147,"E"
"CAN","HHDI","NET","AGRWTH","A","2005",2.5428256110316,"E"
"CAN","HHDI","NET","AGRWTH","A","2006",5.47724646477507,"E"
"CAN","HHDI","NET","AGRWTH","A","2007",3.41372622808267,"E"
"CAN","HHDI","NET","AGRWTH","A","2008",3.80204226196001,"E"
"CAN","HHDI","NET","AGRWTH","A","2009",1.61253999820851,"E"
"CAN","HHDI","NET","AGRWTH","A","2010",2.61838268908461,"E"
"CAN","HHDI","NET","AGRWTH","A","2011",1.88057308100327,"E"
"CAN","HHDI","NET","AGRWTH","A","2012",2.3548156796079,"E"
"CAN","HHDI","NET","AGRWTH","A","2013",1.88226441778111,"E"
"CAN","HHDI","NET","AGRWTH","A","2014",1.23244989810854,"E"
"CZE","HHDI","NET","AGRWTH","A","2000",2.26133126289503,
"CZE","HHDI","NET","AGRWTH","A","2001",3.3629576726166,
"CZE","HHDI","NET","AGRWTH","A","2002",4.47000268282252,
"CZE","HHDI","NET","AGRWTH","A","2003",4.07035285938824,
"CZE","HHDI","NET","AGRWTH","A","2004",2.00343877374436,
"CZE","HHDI","NET","AGRWTH","A","2005",3.16087781398425,
"CZE","HHDI","NET","AGRWTH","A","2006",4.27598687643791,
"CZE","HHDI","NET","AGRWTH","A","2007",2.78690991345792,
"CZE","HHDI","NET","AGRWTH","A","2008",2.0259843930198,
"CZE","HHDI","NET","AGRWTH","A","2009",2.33707701812833,
"CZE","HHDI","NET","AGRWTH","A","2010",0.113244708440777,
"CZE","HHDI","NET","AGRWTH","A","2011",-1.55577178780423,
"CZE","HHDI","NET","AGRWTH","A","2012",-1.04971305275596,
"CZE","HHDI","NET","AGRWTH","A","2013",-0.48789509934214,
"CZE","HHDI","NET","AGRWTH","A","2014",1.80309984208806,
"DNK","HHDI","NET","AGRWTH","A","2000",1.15008760243284,
"DNK","HHDI","NET","AGRWTH","A","2001",3.32465695950855,
"DNK","HHDI","NET","AGRWTH","A","2002",3.13244514781664,
"DNK","HHDI","NET","AGRWTH","A","2003",1.92494776615895,
"DNK","HHDI","NET","AGRWTH","A","2004",2.32112253672311,
"DNK","HHDI","NET","AGRWTH","A","2005",2.14473814414469,
"DNK","HHDI","NET","AGRWTH","A","2006",2.49844868796798,
"DNK","HHDI","NET","AGRWTH","A","2007",-0.19157269187017,
