"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2005",9.967816,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2006",9.228341,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2007",9.039275,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2008",8.889132,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2009",9.928207,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2010",9.541111,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2011",8.126664,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2012",8.310776,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2013",8.087295,
"DEU","HHFT","NETBALANCE","PC_NHHDI","A","2014",8.169142,
