"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","HHSAV","TOT","PC_HHDI","A","2000",9.00228279238026,
"DEU","HHSAV","TOT","PC_HHDI","A","2001",9.62344396690678,
"DEU","HHSAV","TOT","PC_HHDI","A","2002",9.62534037408424,
"DEU","HHSAV","TOT","PC_HHDI","A","2003",10.1183454789782,
"DEU","HHSAV","TOT","PC_HHDI","A","2004",10.1060266663723,
"DEU","HHSAV","TOT","PC_HHDI","A","2005",10.0988570102268,
"DEU","HHSAV","TOT","PC_HHDI","A","2006",10.0788405315154,
"DEU","HHSAV","TOT","PC_HHDI","A","2007",10.244179384613,
"DEU","HHSAV","TOT","PC_HHDI","A","2008",10.4816196959721,
"DEU","HHSAV","TOT","PC_HHDI","A","2009",9.9520777971081,
"DEU","HHSAV","TOT","PC_HHDI","A","2010",9.96559295349664,
"DEU","HHSAV","TOT","PC_HHDI","A","2011",9.56399377876896,
"DEU","HHSAV","TOT","PC_HHDI","A","2012",9.26037780050794,
"DEU","HHSAV","TOT","PC_HHDI","A","2013",9.13571288191452,
"DEU","HHSAV","TOT","PC_HHDI","A","2014",9.52271899412356,
