"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2005",10.0987961754,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2006",10.0788338814,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2007",10.2441212135,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2008",10.4816263189,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2009",9.9520140708,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2010",9.9655929535,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2011",9.5639390914,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2012",9.2603186416,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2013",9.1356600483,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2014",9.5226107523,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2015",9.547748988,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2016",9.440165432,
"DEU","HHSAVFORECAST","NET","PC_HHDI","A","2017",9.0716508493,
