"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","HHEXP","TOT","MLN_USD","A","2004",1413859.4563,
"DEU","HHEXP","TOT","MLN_USD","A","2005",1492178.6794,
"DEU","HHEXP","TOT","MLN_USD","A","2006",1585860.9452,
"DEU","HHEXP","TOT","MLN_USD","A","2007",1624045.3469,
"DEU","HHEXP","TOT","MLN_USD","A","2008",1700385.4123,
"DEU","HHEXP","TOT","MLN_USD","A","2009",1699529.822,
"DEU","HHEXP","TOT","MLN_USD","A","2010",1766525.7608,
"DEU","HHEXP","TOT","MLN_USD","A","2011",1854225.9042,
"DEU","HHEXP","TOT","MLN_USD","A","2012",1897144.3391,
"DEU","HHEXP","TOT","MLN_USD","A","2013",1911652.8528,
